audit_bucket,post_url,final_decision,confidence,tier,model,exclusion_reason,is_wedding,is_real_wedding,is_chicago,is_credible_source,event_date,event_date_confidence,owner_username,archetype,is_wedding_industry,location_tag,likes_count,post_timestamp,evidence,caption_excerpt,hashtags
boundary_50,https://www.instagram.com/p/DZLK3ygSSEM/,EXCLUDE,0.62,expensive_model,anthropic/claude-sonnet-5,not_wedding_related,f,,t,t,,,yomifilms,wedding_videographer,t,Rockwell On The River,50,2026-06-04 18:49:39,"[{""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior: wedding_videographer (confidence 0.95), posting own work"", ""source_field"": ""account_bio""}, {""claim"": ""is_chicago"", ""signal"": ""Venue: @rockwellontheriver, in_metro true; location_tag Rockwell On The River"", ""source_field"": ""location_tag""}, {""claim"": ""multi_vendor_stack"", ""signal"": ""Venue, Catering, Bar, Photo, Video, DJ, Floral, Rental, Makeup, Hair, Stationery, Valet, Calligrapher all credited for same event"", ""source_field"": ""caption""}, {""claim"": ""not_wedding_related"", ""signal"": ""Recap video for @wipachicago... mariachi band, no mention of bride/groom/wedding anywhere in caption"", ""source_field"": ""caption""}, {""claim"": ""event_type_unclear"", ""signal"": ""No indication this is a wedding as opposed to corporate/community event for wipachicago (a named organization, not a couple)"", ""source_field"": ""caption""}]","Recap video for @wipachicago. Had a great time filming and editing this event! Big shoutout to everyone who contributed! 

Venue: @rockwellontheriver
Catering: @cocinafusioncatering
Bar: @venuelogic
Photo: @anamariavieriuphotography
Video: @yomifilms
Content Creation: @addysonalexamedia
Mariachi Band: @luniksentertainment
DJ: @toastandjamdjs
Floral/Decor/AV/Lighting: @atmosphereeventsgroup
Linen: ",
boundary_50,https://www.instagram.com/p/Db_yoogG4KM/,EXCLUDE,0.65,expensive_model,anthropic/claude-sonnet-5,not_useful_wedding_content,t,t,,t,,,makeupfrancesca,bridal_fashion,t,"Wheeling, Illinois",99,2026-08-13 22:16:57,"[{""claim"": ""is_wedding"", ""signal"": ""For bridal full glam, I focus on... Bride @cammylotz"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named bride tagged, plus makeup and hair vendor credits for the same person's glam"", ""source_field"": ""mentions""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is the makeup artist's own profile, @makeupfrancesca, consistent with bridal_fashion archetype prior"", ""source_field"": ""account_category""}, {""claim"": ""not_useful_wedding_content"", ""signal"": ""Post is a generic educational breakdown of 'full glam' technique philosophy, not documentation of the wedding event itself"", ""source_field"": ""caption""}, {""claim"": ""is_chicago_uncertain"", ""signal"": ""location_tag is Wheeling, Illinois (could be studio location) while hashtags claim Chicago broadly; no venue or wedding city named"", ""source_field"": ""location_tag""}]","Full glam isn’t about wearing more makeup—it’s about knowing where to add intensity and where to keep things soft. ✨

For bridal full glam, I focus on:
🤍 Strategic coverage that still looks like skin
🤍 Sculpted, lifted features without harsh lines
🤍 Defined eyes + lashes that photograph beautifully
🤍 Long-wearing layers made to last through tears, hugs & dancing
🤍 A finished look that feels glamor","[""chicagomakeupartist"", ""chicagomua"", ""chicagobridalmakeup"", ""chicagobride"", ""chicagoweddingmakeup""]"
boundary_50,https://www.instagram.com/p/DFLgaJ6vX-A/,EXCLUDE,0.65,expensive_model,anthropic/claude-sonnet-5,not_useful_wedding_content,t,t,t,t,,,rarebirdbeauties,wedding_other_vendor,t,Four Seasons Hotel Chicago,70,2025-01-23 19:27:16,"[{""claim"": ""is_wedding"", ""signal"": ""Wedding @fschicago"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Makeup and hair credits tied to a specific wedding booking at a named venue, not generic marketing copy"", ""source_field"": ""caption""}, {""claim"": ""is_chicago"", ""signal"": ""Four Seasons Hotel Chicago"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source"", ""signal"": ""vendor_category hair_makeup, rating 4.9 (101 reviews), own profile posting"", ""source_field"": ""account_rating""}, {""claim"": ""known vendor corroboration"", ""signal"": ""fschicago flagged in_metro true"", ""source_field"": ""mentions""}, {""claim"": ""not_useful_wedding_content"", ""signal"": ""Post is a bridal glam/makeup showcase (Golden Goddess Glam) focused on hair/makeup artistry, not documenting the wedding event itself"", ""source_field"": ""caption""}]","Golden Goddess Glam 
Makeup by Ioana
Hair by Jen

Wedding @fschicago",
boundary_50,https://www.instagram.com/p/DPcWXW2kfRm/,EXCLUDE,0.65,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,t,,t,,,weddingbug_studios,wedding_photographer,t,,7,2025-10-05 21:39:58,"[{""claim"": ""is_wedding"", ""signal"": ""Sierra & Nicholas 🤍 with #wedding #weddingday hashtags"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple 'Sierra & Nicholas' tied to wedding-specific hashtags"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior: wedding_photographer confidence 0.98, vendor_category photographer"", ""source_field"": ""account_bio""}, {""claim"": ""is_chicago unresolved - no location evidence"", ""signal"": ""no location_tag, vendor_city is Chicago but that's vendor home base not event location; conflicting hashtags #beachwedding #summerwedding #fallwedding #autumn suggest inconsistency"", ""source_field"": ""hashtags""}]","Sierra & Nicholas 🤍

.
.
#weddingphotography #wedding #weddinginspiration #weddingday #bride #beachwedding #summerwedding #videography #photography #details #fallwedding #fall #autumn #details","[""weddingphotography"", ""wedding"", ""weddinginspiration"", ""weddingday"", ""bride"", ""beachwedding"", ""summerwedding"", ""videography"", ""photography"", ""details"", ""fallwedding"", ""fall"", ""autumn""]"
boundary_50,https://www.instagram.com/p/DaB9qfxjjVs/,EXCLUDE,0.7,expensive_model,anthropic/claude-sonnet-5,insufficient_evidence,t,,,t,,,bsansostiartistry,wedding_other_vendor,t,,17,2026-06-26 01:29:01,"[{""claim"": ""is_wedding"", ""signal"": ""A little bridesmaid beauty from Saturday"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""vendor_category hair_makeup, own profile posting"", ""source_field"": ""account_category""}, {""claim"": ""thin evidence for real wedding"", ""signal"": ""No named couple, no venue, no date beyond 'Saturday', only generic hashtags #chicagobride #chicagowedding #bridalinspo"", ""source_field"": ""hashtags""}, {""claim"": ""no chicago event location evidence"", ""signal"": ""vendor_city Chicago is vendor home base, not wedding location; no location_tag"", ""source_field"": ""location_tag""}]","A little bridesmaid beauty from Saturday ❤️

Makeup by Bianca 
Hair by Gabe

#chicagobridalhair #chicagobridalmakeup #chicagobride #chicagowedding #bridalinspo","[""chicagobridalhair"", ""chicagobridalmakeup"", ""chicagobride"", ""chicagowedding"", ""bridalinspo""]"
boundary_50,https://www.instagram.com/p/DH6Q9NARPFX/,EXCLUDE,0.7,expensive_model,anthropic/claude-sonnet-5,vendor_marketing_generic,t,t,t,t,,,giselledozier,wedding_other_vendor,t,Chicago Ilinois,52,2025-04-01 16:18:34,"[{""claim"": ""is_wedding"", ""signal"": ""Bride @annageyer, wedding makeup credits for hair/makeup team"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named bride @annageyer with makeup/hair credits suggests a specific real bridal client, not purely styled content"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""Vendor category hair_makeup, 5 star rating with 18 reviews, own profile posting"", ""source_field"": ""account_rating""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: Chicago Illinois"", ""source_field"": ""location_tag""}, {""claim"": ""not_useful_wedding_content"", ""signal"": ""Caption is primarily a promotional pitch: 'Ready to book your flawless bridal glam? Dates are first come first serve... visit the link in bio to submit your inquiry today' with generic SEO hashtags in parentheses"", ""source_field"": ""caption""}]","🌷Spring brides check-in 🙋🏻‍♀️ and save this sweet bridal glam in your wedding inspo folder 👉🏼

Ready to book your flawless bridal glam? Dates are first come first serve 📆 so visit the link in bio to submit your inquiry today 🩷

Makeup @giselledozier
Hair @ranniamariahair 
Bride @annageyer 

Lighting @makiajbeautylight 

(chicago makeup artist, bridal soft glam specialist, wedding makeup artist, ch",
boundary_50,https://www.instagram.com/p/DTEFo_9jqt_/,EXCLUDE,0.7,expensive_model,anthropic/claude-sonnet-5,not_chicago,t,t,f,t,,,sparkentgroup,wedding_videographer,t,Providence Vineyard,16,2026-01-03 21:37:26,"[{""claim"": ""is_wedding"", ""signal"": ""At Elisa & Cole's wedding, the dance floor didn't explode all at once."", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple Elisa & Cole plus multi-vendor stack credited: DJ @djpharaoh, Venue @providencevineyard, Photography @madiellisphoto, Entertainment @sparkentgroup"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is vendor's own profile, DJ business with 5.0 rating (156 reviews)"", ""source_field"": ""account_rating""}, {""claim"": ""venue location signal"", ""signal"": ""Venue: @providencevineyard - name suggests a vineyard venue, no city or Chicago metro confirmation"", ""source_field"": ""location_tag""}, {""claim"": ""is_chicago uncertain"", ""signal"": ""Hashtags claim ChicagoLuxuryWedding/ChicagoBride but venue name 'Providence Vineyard' does not read as a Chicago venue and vendor city (Chicago) is not evidence of event location"", ""source_field"": ""hashtags""}]","At Elisa & Cole’s wedding, the dance floor didn’t explode all at once.
It opened — naturally, comfortably, and without pressure.

That’s intentional.

Our DJs aren’t there to overpower the room. They’re there to read it.
To understand when guests need space, when they need reassurance, and when it’s finally time to let go.

@djpharaoh guided the night with precision — balancing generations, person","[""ChicagoLuxuryWedding"", ""ChicagoBride"", ""WeddingPlanningChicago""]"
boundary_50,https://www.instagram.com/p/C8cYa9at87A/,EXCLUDE,0.72,expensive_model,anthropic/claude-sonnet-5,styled_or_editorial,t,f,,t,,,ecbg_studio,wedding_other_vendor,t,,121,2024-06-20 16:02:13,"[{""claim"": ""is_wedding"", ""signal"": ""Floral and designs, Photos credits with 'team bow trend' — wedding styling content"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding_false"", ""signal"": ""'FEATURED' in the brand new @modluxweddingschi publication — this is an editorial/magazine feature, not documentation of a specific real couple's wedding"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""Multiple credited real wedding vendors (florist, planner, photographers)"", ""source_field"": ""mentions""}, {""claim"": ""no_named_couple"", ""signal"": ""No couple named, no venue, no wedding date referenced"", ""source_field"": ""caption""}, {""claim"": ""is_chicago_unknown"", ""signal"": ""No location tag or city reference for the event itself"", ""source_field"": ""location_tag""}]","🎀FEATURED🎀

In the brand new @modluxweddingschi publication which is out now! 

Among the best with this trendy cutie 🩷

Floral and designs @cjjanda @cjeflowers
Photos @belenaquinophoto @gerberscarpelliphotography @realnickgerber

Are you team bow trend?",
boundary_50,https://www.instagram.com/p/Da0TfMWEbks/,EXCLUDE,0.72,expensive_model,anthropic/claude-sonnet-5,vendor_marketing_generic,t,f,,t,,,fairytalebridalchicago,wedding_florist,t,Esplanade Lakes by Doubletree,21,2026-07-15 14:41:44,"[{""claim"": ""is_wedding"", ""signal"": ""A ceremony as unforgettable as the view... perfectly framed this beautiful 'I do.'"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""posting account is florist/decor vendor, tags photographer @melissamariephoto and venue @lakesatlacey"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding thin evidence"", ""signal"": ""No named couple, no specific date, focus is on the arch design ('Our Enchanted Meadow arch was designed to make a statement') rather than a documented real event"", ""source_field"": ""caption""}, {""claim"": ""vendor marketing framing"", ""signal"": ""Planning your dream wedding? We'd love to help bring your vision to life."", ""source_field"": ""caption""}, {""claim"": ""location ambiguous vs venue mention"", ""signal"": ""location_tag: Esplanade Lakes by Doubletree vs mention Lake at Lacey's, no city confirmation for wedding itself"", ""source_field"": ""location_tag""}]","A ceremony as unforgettable as the view. ✨🌸
Our Enchanted Meadow arch was designed to make a statement, bringing together soft pastels, vibrant blooms, and a romantic garden feel that perfectly framed this beautiful “I do.”

A huge thank you to Melissa @melissamariephoto for capturing these stunning photos so beautifully. Your talent brings every little detail to life, and we’re so grateful for yo","[""fairytalebridal"", ""weddingceremony"", ""weddingarch"", ""colorfulwedding"", ""pastelwedding"", ""luxuryweddingdecor"", ""chicagowedding"", ""illinoiswedding"", ""weddingflowers"", ""ceremonydecor"", ""lakeatlaceys"", ""weddinginspiration"", ""weddingdesign"", ""weddingdetails"", ""weddingdecorrentals"", ""weddingplanner"", ""luxurywedding""]"
boundary_50,https://www.instagram.com/p/DAGj_lxMTd6/,EXCLUDE,0.72,expensive_model,anthropic/claude-sonnet-5,not_chicago,t,t,,t,,,ecbg_studio,wedding_other_vendor,t,,107,2024-09-19 14:44:42,"[{""claim"": ""is_wedding"", ""signal"": ""Wedding cakes still have my heart... swipe to see this breathtaking couple and venue"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""references a specific couple and venue tied to this cake, plus a credited photographer @em.tog"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""vendor_category: baker, posting own work"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago"", ""signal"": ""No location tag or city mentioned for the wedding itself; vendor_city Chicago is only the baker's home base, not evidence of event location"", ""source_field"": ""location_tag""}]","Wedding cakes still have my ♥️ ⁠
⁠
I love how colorful and unique this one is 😍😍⁠
⁠
Fondant ruffles, buttercream palette knife flowers, big and beautiful! ⁠
⁠
And swipe all the way to the end to see this breathtaking couple and venue ➡️➡️⁠
⁠
⁠
Photography: @em.tog",
