audit_bucket,post_url,final_decision,confidence,tier,model,exclusion_reason,is_wedding,is_real_wedding,is_chicago,is_credible_source,event_date,event_date_confidence,owner_username,archetype,is_wedding_industry,location_tag,likes_count,post_timestamp,evidence,caption_excerpt,hashtags
lowconf_40,https://www.instagram.com/p/Da1UWIcN_NL/,INCLUDE,0.6,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,toastandjamdjs,wedding_videographer,t,"Chicago, Illinois",10,2026-07-16 00:23:19,"[{""claim"": ""is_wedding"", ""signal"": ""It’s a full sax solo while the bride throws her hands up... every single person on that dance floor"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Specific described moment (bride, dance floor, cousin's Superman lean, cat on a stick) tied to a specific couple 'T&J' rather than generic advice"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""Vendor's own DJ account, rated 4.9 with 347 reviews, category dj_music"", ""source_field"": ""account_rating""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: Chicago, Illinois"", ""source_field"": ""location_tag""}]","WHAT’S A T&J VIBE LIKE?

It’s a full sax solo while the bride throws her hands up.

It’s someone’s cousin doing a full Superman lean off because why not?

It’s a cat on a stick. We don’t ask questions.

It’s every single person on that dance floor. No exceptions. No sitting this one out.

🎧 Yeah. It’s like that.

#WeddingReception #DanceFloorEnergy #WeddingDJ #PartyPeople #BestWeddingEver","[""WeddingReception"", ""DanceFloorEnergy"", ""WeddingDJ"", ""PartyPeople"", ""BestWeddingEver""]"
lowconf_40,https://www.instagram.com/p/C7WUsOQOblx/,INCLUDE,0.68,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,312entertainment,wedding_other_vendor,t,"The Langham, Chicago",6,2024-05-24 11:02:45,"[{""claim"": ""is_wedding"", ""signal"": ""Wedding after parties are the best with @djakib !!"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""specific mention of 'wedding after parties' tied to a DJ vendor's actual gig, not generic marketing copy"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding_corroboration"", ""signal"": ""djakib listed as confirmed dj vendor in known_vendor_mentions"", ""source_field"": ""cross_reference""}, {""claim"": ""is_chicago"", ""signal"": ""The Langham, Chicago"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source"", ""signal"": ""vendor_rating 5 stars (85 reviews), dj_music category, own profile posting"", ""source_field"": ""account_rating""}]",Wedding after parties are the best with @djakib !!,
lowconf_40,https://www.instagram.com/p/Da5esdgEc-Z/,INCLUDE,0.68,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,sumthingartsy,wedding_other_vendor,t,Medinah Country Club,0,2026-07-17 14:55:52,"[{""claim"": ""is_wedding"", ""signal"": ""Guest portraits painted live at last weekend’s wedding!"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""\""last weekend's wedding\"" describes a specific, recent, actual event where the vendor performed live at the venue, not generic marketing"", ""source_field"": ""caption""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: Medinah Country Club (Chicago-area venue)"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is the vendor's own profile, consistent with wedding_other_vendor archetype prior"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago supporting"", ""signal"": ""#chicagowedding"", ""source_field"": ""hashtags""}]","Guest portraits painted live at last weekend’s wedding!✨

Your guests came to celebrate your love... why not give them a keepsake they’ll treasure forever? 💖

Live watercolor guest portraits are the perfect way to add a unique, interactive touch to your wedding day!

📍Chicago weddings & events
📩DM me for availability!

#weddingpainter #weddingidea #weddinginspo #chicagowedding #chicagopainter","[""weddingpainter"", ""weddingidea"", ""weddinginspo"", ""chicagowedding"", ""chicagopainter""]"
lowconf_40,https://www.instagram.com/p/DJ0LOm9PEZA/,INCLUDE,0.68,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,diemangiebeauty,generic_lifestyle,f,Holiday Inn North Shore Chicago,35,2025-05-19 00:35:52,"[{""claim"": ""is_wedding"", ""signal"": ""Bride @fami.m23 / Artist @jean_diemangie"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named bride tagged with named makeup artist for a specific bridal beauty booking, not generic marketing copy"", ""source_field"": ""caption""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: Holiday Inn North Shore Chicago"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source"", ""signal"": ""vendor_category hair_makeup, rating 4.9 (91 reviews), vendor's own profile posting"", ""source_field"": ""account_rating""}, {""claim"": ""supporting hashtags"", ""signal"": ""#chicagobride #chicagowedding #diemangiebrides"", ""source_field"": ""hashtags""}]","Bride @fami.m23 
Artist @jean_diemangie 

.
.
.
.
#chicagomakeupartist #chicagoasianmakeupartist #chicagohairstylist #chicagobeauty #teambeautychicago #diemangiebrides #chicagoweddingvendors #chicagobrides #chicagobeautyblogger #chicagowedding #diemangiebeautyteam #muachicago #palatinemakeupartist #chicagoluxuryhairstylist #beautyteamchicago #chicagopakistanimakeup #chicagobride #chicagoweddingven","[""chicagomakeupartist"", ""chicagoasianmakeupartist"", ""chicagohairstylist"", ""chicagobeauty"", ""teambeautychicago"", ""diemangiebrides"", ""chicagoweddingvendors"", ""chicagobrides"", ""chicagobeautyblogger"", ""chicagowedding"", ""diemangiebeautyteam"", ""muachicago"", ""palatinemakeupartist"", ""chicagoluxuryhairstylist"", ""beautyteamchicago"", ""chicagopakistanimakeup"", ""chicagobride"", ""palatinesalon"", ""chicagobeautyteam"", ""chicagoindianbride"", ""chicagoindianmakeupartist"", ""chicagoluxurymakeup"", ""chicagoluxurymakeupartist""]"
lowconf_40,https://www.instagram.com/p/C3iWbl5R9ic/,INCLUDE,0.72,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,premier.entertainment,wedding_videographer,t,,3,2024-02-19 17:02:21,"[{""claim"": ""is_wedding"", ""signal"": ""Love the way Bethany and Carter look at each other during their first dance!"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""named couple (Bethany and Carter) plus specific event detail (first dance) credited to photographer @PhotographyByJami"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding_corroboration"", ""signal"": ""photo credit to a named wedding photographer for this specific event"", ""source_field"": ""mentions""}, {""claim"": ""is_chicago"", ""signal"": ""#chicagoburbswedding and #deervalleygolfclub hashtags referencing a Chicago-suburbs venue"", ""source_field"": ""hashtags""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior wedding_videographer with 0.85 confidence, posting own work"", ""source_field"": ""account_bio""}, {""claim"": ""is_credible_source"", ""signal"": ""DJ vendor account posting own real client photo with photographer credit"", ""source_field"": ""caption""}]","Love the way Bethany and Carter look at each other during their first dance!  This is why we do what we do, Love It!  Thank you to @PhotographyByJami for this photo.
.
.
#Premier.Entertainment, #Chicagoweddingdj #chicagoeventdj #djlife #zola #weddingvibes #weddings2024 #2024weddings #DDJT #chicagoburbswedding #Photographybyjami #deervalleygolfclub","[""premier"", ""chicagoweddingdj"", ""chicagoeventdj"", ""djlife"", ""zola"", ""weddingvibes"", ""weddings2024"", ""2024weddings"", ""ddjt"", ""chicagoburbswedding"", ""photographybyjami"", ""deervalleygolfclub""]"
lowconf_40,https://www.instagram.com/p/C8wwFJ3x1lj/,INCLUDE,0.72,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,lolaloristephenson,wedding_planner,t,Field Museum,66,2024-06-28 13:52:48,"[{""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior wedding_planner (confidence 0.95), posting own profile"", ""source_field"": ""account_bio""}, {""claim"": ""is_real_wedding"", ""signal"": ""multiple credited vendors tagged working the same event: planner, photographer, venue events team, makeup, hair, catering, florist, music, valet"", ""source_field"": ""mentions""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag Field Museum, plus @fieldmuseumspecialevents tagged as venue"", ""source_field"": ""location_tag""}, {""claim"": ""is_real_wedding"", ""signal"": ""multi-vendor stack corroborated by known_vendor_mentions cross-reference (lolaeventpros, hmrdesigns, frostchicago confirmed in_metro true)"", ""source_field"": ""cross_reference""}, {""claim"": ""is_wedding"", ""signal"": ""planner account tagging full vendor team at Field Museum for a specific event"", ""source_field"": ""caption""}]","Headed into a week of vacation like… ✨🤍✌️#byebye 

@lolabossbabe @lolaeventpros 
@amandamegmiller 
@fieldmuseumspecialevents 
@joannabartistry @liviacaporalehair 
@oscardelarenta 
@fftchicago 
@hmrdesigns @frostchicago
@beatmixchicago 
@vipvaletservices","[""byebye""]"
lowconf_40,https://www.instagram.com/p/Cp-ggrDLC4L/,INCLUDE,0.72,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,marktrelaphotography,wedding_photographer,t,"Highland Park, Illinois",37,2023-03-19 16:09:37,"[{""claim"": ""is_wedding"", ""signal"": ""Way to exit the ceremony! #weddingparade #backyardwedding #intimatewedding"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Caption describes an actual ceremony exit moment ('Way to exit the ceremony!') combined with #backyardwedding #intimatewedding, indicating a specific real event, not styled content"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""Vendor's own profile, photographer category, 5.0 rating with 50 reviews, account_archetype_prior wedding_photographer 0.99"", ""source_field"": ""account_rating""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: Highland Park, Illinois (Chicago metro)"", ""source_field"": ""location_tag""}]","Way to exit the ceremony!
.
.
#weddingparade #backyardwedding #chicagowedding #chicagoweddings #chicagoweddingphotographer #tellon #lookslikefilmweddings #intimatewedding","[""weddingparade"", ""backyardwedding"", ""chicagowedding"", ""chicagoweddings"", ""chicagoweddingphotographer"", ""tellon"", ""lookslikefilmweddings"", ""intimatewedding""]"
lowconf_40,https://www.instagram.com/p/CxIw-9Iuymj/,INCLUDE,0.72,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,marktrelaphotography,wedding_photographer,t,,109,2023-09-13 15:25:44,"[{""claim"": ""is_wedding"", ""signal"": ""Lindsey and Luke on the morning of their wedding"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""named couple (Lindsey and Luke) with explicit wedding day reference"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""vendor_category photographer, 5.0 rating 50 reviews, own profile posting"", ""source_field"": ""account_bio""}, {""claim"": ""account_archetype_prior supports real wedding documentation"", ""signal"": ""wedding_photographer confidence 0.99"", ""source_field"": ""cross_reference""}, {""claim"": ""is_chicago"", ""signal"": ""#chicagowedding #chicagoweddingphotographer #chicagobride hashtags"", ""source_field"": ""hashtags""}]","Who else thinks getting ready together on the wedding day is so rad? Lindsey and Luke on the morning of their wedding. 
. 
. 
#chicagowedding #chicagoweddingphotographer #chicagobride #chicagoelopement #chicagoelopementphotographer #chicagoweddings","[""chicagowedding"", ""chicagoweddingphotographer"", ""chicagobride"", ""chicagoelopement"", ""chicagoelopementphotographer"", ""chicagoweddings""]"
lowconf_40,https://www.instagram.com/p/Cy56LEZL18T/,INCLUDE,0.72,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,stellagreyblooms,wedding_florist,t,North Center,24,2023-10-27 14:00:13,"[{""claim"": ""is_wedding"", ""signal"": ""No Rose Fall Floral Bridal Bouquet for Stephanie!"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""named individual Stephanie plus specific bouquet request tied to her wedding day, not generic marketing"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding_support"", ""signal"": ""#courthousewedding #bigday #weddingday paired with named bride"", ""source_field"": ""hashtags""}, {""claim"": ""is_credible_source"", ""signal"": ""florist vendor account, 4.9 rating (60 reviews), own profile posting"", ""source_field"": ""account_rating""}, {""claim"": ""is_chicago"", ""signal"": ""#downtownwedding #chicagowedding #courthousewedding suggest a downtown Chicago courthouse wedding"", ""source_field"": ""hashtags""}, {""claim"": ""is_chicago_location"", ""signal"": ""North Center"", ""source_field"": ""location_tag""}]",No Rose Fall Floral Bridal Bouquet for Stephanie! #courthousewedding #downtownwedding #chicagowedding #bigday #weddingday #specialrequests #noroses #noproblem #chicagoweddingflorist #stellagreyblooms,"[""courthousewedding"", ""downtownwedding"", ""chicagowedding"", ""bigday"", ""weddingday"", ""specialrequests"", ""noroses"", ""noproblem"", ""chicagoweddingflorist"", ""stellagreyblooms""]"
lowconf_40,https://www.instagram.com/p/DanIobYnOtT/,INCLUDE,0.72,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,"May 2026 (approximate, based on posted_at context)",0.4,bettertogethertravelstg,wedding_planner,t,Claridge House Chicago,10,2026-07-10 11:56:45,"[{""claim"": ""is_wedding"", ""signal"": ""we're thrilled to coordinate the wedding room block for B+T's May celebration"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple initials 'B+T' with a specific 'May celebration' at a specific hotel, plus credited planner partner"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding_corroboration"", ""signal"": ""Big thanks to our partners at Shh Events (@shh.events) - this weekend will be as seamless as it is stylish"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior: wedding_planner (0.75), and known_vendor_mentions confirms @shh.events as a real Chicago wedding planner"", ""source_field"": ""cross_reference""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: Claridge House Chicago, and caption 'Gold Coast' hotel location for the wedding room block"", ""source_field"": ""location_tag""}]","Chicago means skyline views, rooftop bars, and a food scene that could steal the spotlight from any wedding (we won't tell).

We're thrilled to coordinate the wedding room block for B+T's May celebration at Claridge House Chicago, a Tapestry Collection by Hilton hotel (@claridge_house) tucked into the heart of the Gold Coast just steps from deep-dish legends, hidden speakeasies, and some of the be","[""weddingroomblock"", ""weddingtravel"", ""chicagowedding"", ""tapestrybyhilton"", ""traveladvisor""]"
