audit_bucket,post_url,final_decision,confidence,tier,model,exclusion_reason,is_wedding,is_real_wedding,is_chicago,is_credible_source,event_date,event_date_confidence,owner_username,archetype,is_wedding_industry,location_tag,likes_count,post_timestamp,evidence,caption_excerpt,hashtags
random_100,https://www.instagram.com/p/DbjKeDmCa7j/,INCLUDE,0.98,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,7.25.26,0.95,lauranebor,couple_personal,f,Field Museum,185,2026-08-02 19:27:14,"[{""claim"": ""is_wedding"", ""signal"": ""married the love of my life 🕊️ 7.25.26"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Full vendor stack credited for a single event: Planner, Venue, Church, Catering, Decor, Linens, A/V Drape, Photography, DJ, Dress, Hair, Makeup, Stationery, Cake, Ice Sculpture, Photo 360, Trolleys, Hotel, Rooftop Drinks"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""First-person personal account posting about own wedding"", ""source_field"": ""account_bio""}, {""claim"": ""is_chicago"", ""signal"": ""Venue: @fieldmuseumspecialevents / location_tag Field Museum"", ""source_field"": ""location_tag""}, {""claim"": ""is_chicago"", ""signal"": ""Multiple known Chicago-metro vendors credited: @clementinechicago, @blueplatechicago, @yannidesignstudio, @frostchicago, @steraclepress, @sweetmandybs, @chicagocloud9limos, @thegwenchicago"", ""source_field"": ""cross_reference""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is the couple themselves, corroborated by extensive named real vendor credits"", ""source_field"": ""account_category""}]","married the love of my life 🕊️ 7.25.26 

Planner: @clementinechicago Dana
Venue: @fieldmuseumspecialevents 
Church: @assumptionchi 
Catering: @blueplatechicago 
Decor: @yannidesignstudio Katherine & Stephanie
Linens: @bbjlatavola 
A/V Drape: @frostchicago 
Photography: @thelockharts 
Content Creator: @socialbridescollective 
DJ: @soundbydesign
Dress: @markingramatelier @markingramcollection 
Hair:","[""wedding"", ""weddingday"", ""chicagowedding"", ""2026"", ""chicago""]"
random_100,https://www.instagram.com/p/DLOOslIvx30/,INCLUDE,0.97,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,stephanieparshallphotography,wedding_photographer,t,Bridgeport Art Center,105,2025-06-22 23:57:49,"[{""claim"": ""is_wedding"", ""signal"": ""Ashley & Ben's wedding was the kind of day that reminds you exactly what a celebration should feel like."", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding named couple"", ""signal"": ""SP Couple | @ash.wade15 & @vrbkben"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding multi-vendor stack"", ""signal"": ""Venue | @bridgeportartcenter, Photographer | @stephanieparshallphotography, Florals | @hmrdesigns, 2nd Photographer | @nicoleyeagerphotography, Day of Coordination | @leighandcoevents"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding wedding-specific narrative"", ""signal"": ""From the emotional first looks to Ben's heartfelt vows... dance floor that absolutely DELIVERED"", ""source_field"": ""caption""}, {""claim"": ""is_chicago venue"", ""signal"": ""location_tag Bridgeport Art Center; known_vendor_mentions bridgeportartcenter in_metro true"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source photographer account"", ""signal"": ""account_archetype_prior wedding_photographer confidence 0.98, posting own real shoot"", ""source_field"": ""account_category""}]","Ashley & Ben’s wedding was the kind of day that reminds you exactly what a celebration should feel like.
⠀⠀⠀⠀⠀⠀⠀⠀⠀
From the emotional first looks to Ben’s heartfelt vows, from every joyful hug to a dance floor that absolutely DELIVERED—the energy never dipped for a second!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Ashley radiates joy in a way that’s completely infectious, and while Ben may be the quieter one, his love for a good",
random_100,https://www.instagram.com/p/DcCHw9ggcQO/,INCLUDE,0.97,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,thekodakcollective,wedding_photographer,t,"Chicago, Illinois",,2026-08-14 20:00:04,"[{""claim"": ""is_wedding"", ""signal"": ""Lilia & Sangeen's Wedding Day"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""named couple Bride @_lilia_99 / Groom @sangeend plus full vendor stack (planner, venue, makeup, hair, dress, photo, video, decor, rentals, DJ, catering, dessert, cake, coffee cart)"", ""source_field"": ""caption""}, {""claim"": ""is_chicago"", ""signal"": ""celebrating ... at Chicago's iconic Old Post Office"", ""source_field"": ""caption""}, {""claim"": ""is_chicago_location_tag"", ""signal"": ""Chicago, Illinois"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source"", ""signal"": ""posting account is photographer's own profile, archetype prior wedding_photographer 0.98"", ""source_field"": ""account_category""}, {""claim"": ""venue corroboration"", ""signal"": ""post433events venue confirmed in_metro true"", ""source_field"": ""cross_reference""}]","Lilia & Sangeen’s Wedding Day 🦢💌

Signed, sealed, and delivered - a love letter brought to life at Chicago’s iconic Old Post Office celebrating the kindest souls 🕊️

The Details 

Bride // @_lilia_99 
Groom // @sangeend 

Planner // @aestheticaffairsco 
Venue // @post433events @post433chicago 

Makeup // @makeupbyemana 
Hair // @itshairbynina 
Dress // @mihacouture 

Photo // @thekodakcollective 
",
random_100,https://www.instagram.com/p/C51AHgKAGJX/,INCLUDE,0.97,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,dreamhouseproductions,wedding_videographer,t,The Drake Hotel,27,2024-04-16 16:00:27,"[{""claim"": ""is_wedding"", ""signal"": ""What an amazing day it was to celebrate Melissa Betance & Michael Mennen...Thank you so much for choosing us to be a part of your special day!"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple Melissa Betance & Michael Mennen plus full multi-vendor stack (planner, venue, photo/video, decor, florist, calligraphy, cake, officiant) all credited for same event"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding_corroboration"", ""signal"": ""account_archetype_prior: wedding_videographer (0.92)"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago"", ""signal"": ""Venue: @thedrakechicago"", ""source_field"": ""mentions""}, {""claim"": ""is_chicago_location_tag"", ""signal"": ""The Drake Hotel"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is vendor's own profile, Dream House Productions, DJ/Music, 4.8 rating (136 reviews)"", ""source_field"": ""account_rating""}, {""claim"": ""is_credible_source_known_vendors"", ""signal"": ""Multiple mentioned vendors confirmed in known_vendor_mentions graph as real Chicago wedding vendors (planner, photographer, DJ)"", ""source_field"": ""cross_reference""}]","What an amazing day it was to celebrate Melissa Betance & Michael Mennen. They looked amazing and the evening was filled with smiles, laughter, good times and memories to last a life time! Thank you so much for choosing us to be a part of your special day! Cheers to you guys!

DJ, Sound & Lighting: @dreamhouseproductions 
Venue: @thedrakechicago @foster3799 @ariella.e 
Planner: @shannongailevents ",
random_100,https://www.instagram.com/p/DSp3FEujjWe/,INCLUDE,0.97,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,"December (Winter Solstice wedding, year prior to posting)",0.6,emullinsphoto,wedding_photographer,t,"Chicago, Illinois",93,2025-12-24 17:09:56,"[{""claim"": ""is_wedding"", ""signal"": ""Throwing it back to Tommy & Elissa’s stunning December wedding day in Chicago"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple Tommy & Elissa, engagement story, and detailed description of their wedding day including custom tree ornaments, candlelit dinner, dance party"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding_multivendor"", ""signal"": ""Photography, Planner, Design, Hotel, Beauty, Dress, Suit, Jeweler, Entertainment, Catering, Stationery all credited for same event"", ""source_field"": ""caption""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: Chicago, Illinois; venue @viceroychicago in Chicago"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is Emma Mullins Photography, a 5-star rated Chicago wedding photographer, posting from her own account"", ""source_field"": ""account_category""}, {""claim"": ""known_vendor_corroboration"", ""signal"": ""Multiple mentioned vendors (jpbdesigns, viceroychicago, sarahseven, bluenilediamond, bluewaterkingsband, minted) are confirmed in known_vendor_mentions graph"", ""source_field"": ""cross_reference""}]","Throwing it back to Tommy & Elissa’s stunning December wedding day in Chicago :) These two got engaged on Christmas Day, and then spent the next twelve months planning a Winter Solstice wedding for the following year. Not only was their day a perfect mix of romance and holiday cheer, it was an absolute pleasure to capture from beginning to end! 

Featuring photos at @viceroychicago, custom tree or","[""happyanniversary"", ""babyitscoldoutside"", ""marriedchristmas"", ""cheers"", ""holidaywedding"", ""chicagowedding"", ""weddingphotographer"", ""chicagoweddingphotographer"", ""emmamullinsphotography"", ""emullinsphoto""]"
random_100,https://www.instagram.com/p/DNdbe4MtWLb/,INCLUDE,0.97,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,foxandivory,wedding_photographer,t,University Club of Chicago,82,2025-08-17 14:40:56,"[{""claim"": ""is_wedding"", ""signal"": ""Shirin and Zack’s wedding was the perfect blend of sophistication and joy — heartfelt vows, unforgettable laughter, and a dance floor that never stopped buzzing."", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""Named couple Shirin and Zack tagged (@shirinleilajordan @zclayj) plus multiple credited vendors working the same event (planner @aparisevent, musician @tvkmusic, hair @windycityglam, florist @atmosphereeventsgroup)"", ""source_field"": ""caption""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: University Club of Chicago; venue confirmed in_metro true"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source"", ""signal"": ""Posting account is the photographer's own profile, vendor_category photographer, rating 4.9 (86 reviews), account_archetype_prior wedding_photographer 0.99"", ""source_field"": ""account_bio""}, {""claim"": ""is_useful_wedding_content"", ""signal"": ""Post documents specific real wedding day at named venue with named couple and vendor stack"", ""source_field"": ""caption""}]","What an incredible day celebrating their love at the iconic @universityclubofchicago From the elegant architecture to the timeless Chicago skyline views, every moment felt like it belonged in a classic romance film.

Shirin and Zack’s wedding was the perfect blend of sophistication and joy — heartfelt vows, unforgettable laughter, and a dance floor that never stopped buzzing. Capturing their story","[""FoxAndIvory"", ""UniversityClubChicagoWedding"", ""ChicagoWeddingPhotographer"", ""ChicagoWeddings"", ""LuxuryWeddingPhotography"", ""FoxAndIvoryCouples"", ""ChicagoBride"", ""UniversityClubChicago"", ""ChicagoWedding""]"
random_100,https://www.instagram.com/p/DNllCJtvdgY/,INCLUDE,0.97,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,lolamichellev,wedding_planner,t,University Club of Chicago,196,2025-08-20 18:38:19,"[{""claim"": ""is_wedding"", ""signal"": ""when I got the call from Gracee... a second (or third, or fourth) wedding... surprise mother daughter dance"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding"", ""signal"": ""named bride Gracee and mother Denise, detailed story of a surprise mother-daughter dance to 'Best of My Love', full vendor stack credited (planning, photo, film, venue, floral, lighting, paper goods, entertainment, gown, makeup, hair, transportation)"", ""source_field"": ""caption""}, {""claim"": ""is_credible_source"", ""signal"": ""posting account is the wedding planner themselves, account_archetype_prior wedding_planner confidence 0.95"", ""source_field"": ""account_category""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag University Club of Chicago; venue mention @universityclubofchicago confirmed in_metro true"", ""source_field"": ""location_tag""}, {""claim"": ""is_useful_wedding_content"", ""signal"": ""post is entirely about the couple's/family's wedding day event and vendor team, not incidental"", ""source_field"": ""caption""}]","We are always so lucky and flattered when a family returns to us for a second (or third, or fourth) wedding, and when I got the call from Gracee, I was ECSTATIC, because her family is the best! 

Planning with her and her mom was a pure joy, and Denise was on top of EVERY detail, so when Gracee came to me and the band with a surprise she wanted to pull on her, it was tough. I immediately answered ","[""chicagoweddingplanner"", ""chicagoweddings"", ""chicagobride"", ""chicagogroom"", ""chicagoweddinginspo"", ""gettingmarriedinchicago"", ""chicagoeventplanner"", ""weddingplanningchicago"", ""weddinggoals"", ""engagedinchicago""]"
random_100,https://www.instagram.com/p/DO3vck1EUyj/,INCLUDE,0.97,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,shh.events,wedding_planner,t,"Chicago, Illinois",127,2025-09-21 16:29:32,"[{""claim"": ""is_wedding"", ""signal"": ""Natalie + Chris's wedding was a perfect match"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding_named_couple"", ""signal"": ""Natalie + Chris's wedding"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding_details"", ""signal"": ""tennis ball guest book to a court-inspired seating chart... Natalie's mom performing on piano for the father-daughter dance"", ""source_field"": ""caption""}, {""claim"": ""multi_vendor_stack"", ""signal"": ""planning, catering, venue, photo, video, hair+mua, donuts, band, cake credits listed"", ""source_field"": ""caption""}, {""claim"": ""is_chicago"", ""signal"": ""location_tag: Chicago, Illinois"", ""source_field"": ""location_tag""}, {""claim"": ""is_chicago_venue"", ""signal"": ""venue: @riverroomchicago (River Room at Burning Bush Brewery, Chicago)"", ""source_field"": ""cross_reference""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior: wedding_planner (confidence 0.98)"", ""source_field"": ""account_bio""}, {""claim"": ""known_vendor_corroboration"", ""signal"": ""riverroomchicago and blueplatechicago flagged in_metro:true"", ""source_field"": ""cross_reference""}]","Natalie + Chris’s wedding was a perfect match 🎾❤️‍🔥

From their tennis ball guest book to a court-inspired seating chart, their shared love for the sport was woven into the sweetest details. Paired with thoughtful nods to their Chinese culture and simple, yet tasteful décor (hello, donut centerpieces! 🍩) , the day felt so authentically them! 

One of the most touching moments? Natalie’s mom perfor","[""weddingplanner"", ""wedding"", ""weddinginspiration"", ""weddingday"", ""eventplanner"", ""weddings"", ""love"", ""weddingideas"", ""weddingdecor"", ""weddingplanning"", ""weddinginspo"", ""instawedding"", ""events"", ""luxurywedding"", ""party"", ""weddingstyle"", ""engaged"", ""chicagoweddingplanning"", ""chicagoweddingplanner"", ""topweddingplanner"", ""thedailywedding"", ""chicagowedding"", ""shheventscouples"", ""shheventsmoments"", ""plannedbyshhevents"", ""shhevents"", ""teamshhevents"", ""weddingrecap"", ""lovematch"", ""tennis""]"
random_100,https://www.instagram.com/p/DFjLX0mu4Ez/,INCLUDE,0.96,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,thekovalchuks,wedding_photographer,t,"Chicago, Illinois",78,2025-02-02 00:04:27,"[{""claim"": ""is_wedding"", ""signal"": ""Arjun & Jordan’s downtown wedding was a perfect blend of timeless elegance and pure joy. From the moment they said “I do”..."", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding named couple"", ""signal"": ""Arjun & Jordan’s downtown wedding"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding multi-vendor stack"", ""signal"": ""Bride @jordanwitzel Planner @simplyelegantxo Venue @venuesix10 Cake @thebakinginstitute Dress @carolinaherrera Dj @dreamhouseproductions MUA and Hair @diemangiebeautyteam Florist @juliettanfloraldesign Catering @chicchefcatering Photo & Video @thekovalchuks"", ""source_field"": ""caption""}, {""claim"": ""is_chicago"", ""signal"": ""So honored to have captured their love story in the heart of Chicago!"", ""source_field"": ""caption""}, {""claim"": ""is_chicago geotag"", ""signal"": ""Chicago, Illinois"", ""source_field"": ""location_tag""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior wedding_photographer confidence 0.95"", ""source_field"": ""account_category""}, {""claim"": ""known vendor corroboration"", ""signal"": ""venuesix10 (venue, in_metro true), simplyelegantxo (planner, in_metro true), thebakinginstitute (cake, in_metro true), dreamhouseproductions (dj, in_metro true)"", ""source_field"": ""cross_reference""}]","Arjun & Jordan’s downtown wedding was a perfect blend of timeless elegance and pure joy. From the moment they said “I do” to the sweetest cake-cutting smiles, every detail was filled with laughter. 

And let’s talk about the breathtaking floral work by @juliettanfloraldesign an absolute masterpiece that transformed the space into something straight out of a dream! The energy of the city, the warmt","[""chicagoweddingphotographer"", ""DowntownLove"", ""TheKovalchuks"", ""chicagophotographer"", ""weddingphotography""]"
random_100,https://www.instagram.com/p/DDICFtEMduJ/,INCLUDE,0.95,expensive_model,anthropic/claude-sonnet-5,,t,t,t,t,,,bartgalbasphotography,wedding_photographer,t,,84,2024-12-03 18:01:06,"[{""claim"": ""is_wedding"", ""signal"": ""Part II of Dena & Ioannis' breathtaking reception at Hilton Chicago."", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding named couple"", ""signal"": ""Dena & Ioannis'"", ""source_field"": ""caption""}, {""claim"": ""is_real_wedding multi-vendor stack"", ""signal"": ""Planning/Design @manikasdesigns Reception @hilton_chicago_hotel Flowers @phillips_flowers Dress @leahdagloria @dimitrasbridalcouture Content @socialbridescollective Photo @bartgalbasphotography"", ""source_field"": ""caption""}, {""claim"": ""is_chicago venue"", ""signal"": ""reception at Hilton Chicago"", ""source_field"": ""caption""}, {""claim"": ""is_chicago known vendor venue in metro"", ""signal"": ""hilton_chicago_hotel, role venue, in_metro true"", ""source_field"": ""cross_reference""}, {""claim"": ""is_credible_source"", ""signal"": ""account_archetype_prior wedding_photographer confidence 0.98, own profile posting"", ""source_field"": ""account_category""}]","Part II of Dena & Ioannis' breathtaking reception at Hilton Chicago.
.
Planning/Design @manikasdesigns
Reception @hilton_chicago_hotel
Flowers @phillips_flowers
Dress @leahdagloria @dimitrasbridalcouture
Content @socialbridescollective 
.
Photo @bartgalbasphotography
773-742-1240
www.bartgalbas.com
.
#chicagoweddings #chicagowedding #weddingphotographer #weddingphotographers #luxurychicagowedding ","[""chicagoweddings"", ""chicagowedding"", ""weddingphotographer"", ""weddingphotographers"", ""luxurychicagowedding"", ""luxurywedding"", ""chicagoweddingphotographer"", ""chicagoweddingphotographers"", ""chicagoweddingphotography"", ""greekwedding"", ""greekweddings"", ""greekweddingphotographer"", ""greekweddingphotographers"", ""greekweddingphotography""]"
