candidate_id,matched_wedding_id,venue_handle,candidate_date,ben_wedding_date,date_delta_days,vendor_jaccard,candidate_post_count,ben_wedding_post_count,jeremy_post_urls,ben_wedding_post_urls,candidate_vendors,ben_wedding_vendors
3,779,"thegeraghty",2022-12-03,2026-07-02,1307,0.333333,1,1,"https://www.instagram.com/p/DRzj-9xjd7o/","https://www.instagram.com/p/DaSylTOEXvI/","photographer: @studiothisisphotography | planner: @sostacyevents | venue: @thegeraghty","venue: @thegeraghty | planner: @sostacyevents | photographer: @iambenramos | other: @blackoak.tech | other: @meredith_blackoak"
64,1186,"thedalcy",2024-01-11,2026-08-10,942,0.733333,1,1,"https://www.instagram.com/p/C17hoq7Jpn-/","https://www.instagram.com/p/Db30bJnFL87/","cake: @sweetmandybs | dj: @theunionchi | florist: @avant_gardenia | hair: @nikavaughanbridalartists | makeup: @joannabartistry | photographer: @shannondugganphotography | planner: @soireesmith | rentals: @bbjlatavola | rentals: @hallsrental | stationery: @miteprint | transportation: @vipvaletservices | venue: @thedalcy | videographer: @josephlotz_","venue: @thedalcy | planner: @soireesmith | photographer: @shannondugganphotography | videographer: @lvi_films | florist: @avant_gardenia | hair: @nikavaughanbridalartists | makeup: @joannabartistry | dj: @theunionchi | stationery: @miteprint | cake: @sweetmandybs | rentals: @bbjlatavola | rentals: @hallsrental | other: @eleganteventlighting"
112,1307,"revelspace",2024-03-16,2026-08-17,884,0.333333,2,1,"https://www.instagram.com/p/C4lC4B6O6vs/ | https://www.instagram.com/p/C4ocxl1AsnD/","https://www.instagram.com/p/DcJQjFJgIbN/","photographer: @bradley_moss | planner: @anticipationevents | rentals: @revel_decor | venue: @revelspace","venue: @revelspace | planner: @revelglobalevents | catering: @limelightcatering | rentals: @revel_decor"
146,638,"adlerplanet",2024-04-27,2026-06-09,773,0.545455,1,1,"https://www.instagram.com/p/C6RMaGVrHBC/","https://www.instagram.com/p/DZXqcBGFdge/","band: @rendezvousbands | catering: @fftchicago | photographer: @amandamegmiller | rentals: @bbjlatavola | rentals: @kehoedesigns | rentals: @mathew_lahey | stationery: @ijorere | venue: @adlerplanet","venue: @adlerplanet | planner: @bethbernstein.events | photographer: @amandamegmiller | dj: @rendezvousbands | stationery: @ijorere | cake: @flourishcakedesign | catering: @fftchicago | rentals: @bbjlatavola | rentals: @kehoedesigns"
174,104,"chicagoathletichotel",2024-05-28,2024-06-29,32,0.666667,1,1,"https://www.instagram.com/p/C7gENOjuTso/","https://www.instagram.com/p/C8x2-eTg9rL/","attire: @graceandivoryofficial | attire: @suitshopofficial | dj: @toastandjamdjs | florist: @flowersfordreams | musician: @aleksey_poltavchenko | photobooth: @fotioco | photographer: @aspenavenuestudios | planner: @weddingbyjenniferfox | venue: @chicagoathletichotel","venue: @chicagoathletichotel | planner: @weddingbyjenniferfox | videographer: @aspenavenuestudios | florist: @flowersfordreams | dj: @toastandjamdjs | musician: @aleksey_poltavchenko | attire: @graceandivoryofficial | attire: @suitshopofficial | photobooth: @fotioco | beauty_other: @blushandbraidsbeautybar | other: @duetdancestudio"
249,115,"mcachicago",2024-07-18,2024-08-16,29,0.0454545,1,1,"https://www.instagram.com/p/C9kb18vxYPO/","https://www.instagram.com/p/C-t61PvO4IO/","attire: @alenaleenabridal | attire: @aliceinivorybridal | attire: @bellabridesmaids | attire: @jennyyoonyc | attire: @theblacktux | cake: @ecbg_studio | dj: @djbryenhall | florist: @thistleandplume | hair: @eringrahamhair | hotel: @parkhyattchicago | makeup: @alyssadianamakeup | photobooth: @ohanaeventsinc | photographer: @lisablumephoto | planner: @ohanaeventsinc | rentals: @bbjlatavola | rentals: @tablescapeschgo | rentals: @thefestivefrog | transportation: @chicagocloud9limos | transportation: @ridestg | venue: @mcachicago","venue: @mcachicago | planner: @honeybeeweddings | florist: @oakandfigfloral | attire: @gildedroseatelier | other: @rcchicago"
256,779,"thegeraghty",2024-07-24,2026-07-02,708,0.333333,1,1,"https://www.instagram.com/p/C9z-QwqRs8w/","https://www.instagram.com/p/DaSylTOEXvI/","photographer: @natalieprobst | planner: @sostacyevents | venue: @thegeraghty","venue: @thegeraghty | planner: @sostacyevents | photographer: @iambenramos | other: @blackoak.tech | other: @meredith_blackoak"
323,930,"the.arbory",2024-08-30,2026-07-21,690,0.4,1,1,"https://www.instagram.com/p/C_S_A6Iiurd/","https://www.instagram.com/p/DbCNjbPFBxf/","catering: @paramountevents | dj: @goldcoastevents | florist: @hmrdesigns | photographer: @studiothisisphotography | planner: @soireesmith | venue: @the.arbory","venue: @the.arbory | planner: @soireesmith | photographer: @studiothisisphotography | videographer: @hypequeenmedia | videographer: @wearewholehearted | florist: @hmrdesigns | hair: @rhonakanehair | makeup: @kellylabanco_mua | dj: @goldcoastevents | stationery: @steraclepress | catering: @paramountevents | rentals: @bbjlatavola | rentals: @nuagedesignsinc | transportation: @chicagocloud9limos | other: @hallsrental"
341,116,"artifacteventschicago",2024-09-06,2024-08-24,13,0.388889,1,1,"https://www.instagram.com/p/C_ldIT-vfwr/","https://www.instagram.com/p/C_Dy2_Vx3rM/","attire: @formallymodern | catering: @heartyboys | dj: @mychicagoweddingdj | dj: @zhantrachicagoent | florist: @branchingoutchicago | hair: @danielakostabeauty | hair: @pinmeupchicago | makeup: @danielakostabeauty | photographer: @rachelmaephoto | planner: @eventsoneeleven | rentals: @mvmtevents | venue: @artifacteventschicago","venue: @artifacteventschicago | planner: @eventsoneeleven | photographer: @rachelmaephoto | videographer: @alma.photog | florist: @branchingoutchicago | makeup: @pinmeupchicago | dj: @mychicagoweddingdj | musician: @zhantrachicagoent | attire: @formallymodern | catering: @heartyboys | beauty_other: @danielakostabeauty | other: @mvmtevents | other: @ralphscigars"
349,779,"thegeraghty",2024-09-11,2026-07-02,659,0.333333,1,1,"https://www.instagram.com/p/C_wQQ0HyNNI/","https://www.instagram.com/p/DaSylTOEXvI/","photographer: @natalieprobst | planner: @sostacyevents | venue: @thegeraghty","venue: @thegeraghty | planner: @sostacyevents | photographer: @iambenramos | other: @blackoak.tech | other: @meredith_blackoak"
