candidate_id,matched_wedding_id,venue_handle,candidate_date,ben_wedding_date,date_delta_days,vendor_jaccard,candidate_post_count,ben_wedding_post_count,jeremy_post_urls,ben_wedding_post_urls,candidate_vendors,ben_wedding_vendors
11,46,"rm1520",2023-03-17,2023-03-17,0,0.7,1,1,"https://www.instagram.com/p/Cp49l5IopH9/","https://www.instagram.com/p/Cp49l5IopH9/","attire: @enzocustom | attire: @sarahseven | cake: @ecbg_studio | catering: @cocinafusioncatering | dj: @stylemattersdjs | florist: @bou_k_bridal | hair: @eringrahamhair | jeweler: @rollandsjewelers | makeup: @joannabartistry | photographer: @_teresawilliams | planner: @olivefineweddings | rentals: @thefestivefrog | stationery: @inkloveandpaper | venue: @rm1520 | videographer: @wholeheartvideo","venue: @rm1520 | planner: @olivefineweddings | photographer: @_teresawilliams | videographer: @wholeheartvideo | florist: @bou_k_bridal | hair: @eringrahamhair | makeup: @joannabartistry | dj: @stylemattersdjs | attire: @enzocustom | attire: @sarahseven | cake: @ecbg_studio | catering: @cocinafusioncatering | rentals: @thefestivefrog | jeweler: @rollandsjewelers | other: @inkloveandpaper | other: @mikeschmadebeck | other: @rebeccaannedesigns | other: @samanthastyne | other: @windycityweddingdance"
12,48,"rm1520",2023-03-24,2023-03-24,0,0.777778,1,1,"https://www.instagram.com/p/CqK4HHFueAK/","https://www.instagram.com/p/CqK4HHFueAK/","cake: @scafuribakery | catering: @cocinafusioncatering | florist: @prairiehoneyfloralstudio | florist: @shaadicreations | photographer: @edandaileenphotography | planner: @designedanddetailedchi | venue: @rm1520 | videographer: @yomifilms","venue: @rm1520 | planner: @designedanddetailedchi | photographer: @edandaileenphotography | videographer: @yomifilms | florist: @prairiehoneyfloralstudio | cake: @scafuribakery | catering: @cocinafusioncatering | rentals: @shaadicreations"
1083,201,"citycruises",2025-08-11,2025-08-11,0,0.769231,1,1,"https://www.instagram.com/p/DNOVqLQvpBE/","https://www.instagram.com/p/DNOVqLQvpBE/","attire: @martinalianabridal | cake: @bittersweetpastryshop | hair: @dazzledby.ze | makeup: @iservelewks | officiant: @adolfoandco | photobooth: @thequecollab | photographer: @brandonshoots_ | rentals: @anayelisdecorations | venue: @citycruises | videographer: @cloverandhive.co","venue: @citycruises | photographer: @brandonshoots_ | videographer: @cloverandhive.co | hair: @dazzledby.ze | makeup: @iservelewks | attire: @martinalianabridal | cake: @bittersweetpastryshop | rentals: @anayelisdecorations | photobooth: @thequecollab | officiant: @adolfoandco | other: @_vegasnails_ | other: @brayke | other: @samibabycakes"
1174,210,"loewschicagohotel",2025-09-05,2025-09-05,0,0.666667,1,1,"https://www.instagram.com/p/DOOqax1EWo7/","https://www.instagram.com/p/DOOqax1EWo7/","content_creator: @dreamy_content | dj: @djleemichaels | florist: @anthonygowderdesigns | photographer: @karliedru_photographer | planner: @frankeventdesign | rentals: @bbjlatavola | rentals: @tablescapeseventrentals | stationery: @carlsoncraft | venue: @loewschicagohotel | videographer: @diamondpeakfilms","venue: @loewschicagohotel | planner: @frankeventdesign | photographer: @karliedru_photographer | videographer: @diamondpeakfilms | videographer: @dreamy_content | florist: @anthonygowderdesigns | dj: @djleemichaels | rentals: @bbjlatavola | rentals: @tablescapeseventrentals | other: @carlsoncraft"
1267,224,"loyola_cuneomansion",2025-09-28,2025-09-28,0,0.666667,1,1,"https://www.instagram.com/p/DPJgKBdjY7D/","https://www.instagram.com/p/DPJgKBdjY7D/","cake: @thebakinginstitute | catering: @cateredbydesign | dj: @milkmajer | hair: @beaute_luxe | musician: @essentialjasonnelson | photobooth: @pixsterphotobooths | photographer: @colettemariephoto | planner: @lolaeventpros | planner: @lolasanjad | rentals: @aposhproduction | transportation: @the312limo | venue: @loyola_cuneomansion","venue: @loyola_cuneomansion | photographer: @colettemariephoto | hair: @beaute_luxe | dj: @milkmajer | musician: @essentialjasonnelson | cake: @thebakinginstitute | catering: @cateredbydesign | rentals: @aposhproduction | transportation: @the312limo | photobooth: @pixsterphotobooths | other: @bobbyburm | other: @lolaeventpros | other: @lolasanjad"
1288,230,"garden_banquets_chicago",2025-10-03,2025-10-02,1,0.555556,1,1,"https://www.instagram.com/p/DPUssd-DUMr/","https://www.instagram.com/p/DPUssd-DUMr/","dj: @jtcinthemix | photographer: @mbdweddingphotography | planner: @elevent.weddings | transportation: @windycitylimousine | venue: @garden_banquets_chicago | venue: @olmchicago | videographer: @reellovevideo","venue: @garden_banquets_chicago | photographer: @mbdweddingphotography | videographer: @reellovevideo | dj: @jtcinthemix | transportation: @windycitylimousine | other: @elevent.weddings | other: @olmchicago"
1327,237,"haleymansion",2025-10-10,2025-10-09,1,0.8,1,1,"https://www.instagram.com/p/DPmhtY1ESNY/","https://www.instagram.com/p/DPmhtY1ESNY/","florist: @anenglishgardenflorist | hair: @annacota_company | makeup: @nickirougebridalteam | venue: @haleymansion","venue: @haleymansion | florist: @anenglishgardenflorist | hair: @annacota_company | makeup: @nickirougebridalteam | other: @thebsce"
1367,249,"igniteeventschi",2025-10-21,2025-10-22,1,0.6,1,1,"https://www.instagram.com/p/DQFFn1cDebD/","https://www.instagram.com/p/DQIWpJvjKyk/","attire: @lbrbridal | catering: @amazingediblescatering | dj: @djliveentertainment | florist: @flowersfordreams | hair: @prettycommittee_beauty | planner: @eminencemks | venue: @igniteeventschi","venue: @igniteeventschi | planner: @eminencemks | hair: @prettycommittee_beauty | dj: @djliveentertainment | attire: @lbrbridal | catering: @amazingediblescatering | other: @flowersfordreams | other: @hannah_mrozowicz | other: @nottoobradofalife"
1485,271,"homesteadontheroof",2025-11-19,2025-11-18,1,0.8,1,1,"https://www.instagram.com/p/DRNXA0RASdO/","https://www.instagram.com/p/DRNXA0RASdO/","attire: @jennyyoonyc | attire: @suitsupply | beauty_other: @bridalartistryteam | cake: @westtownbakery | dj: @toastandjamdjs | florist: @flowersbystem | photographer: @theadamkovi | planner: @designedanddetailedweddings | venue: @homesteadontheroof","venue: @homesteadontheroof | planner: @designedanddetailedweddings | photographer: @theadamkovi | florist: @flowersbystem | dj: @toastandjamdjs | attire: @jennyyoonyc | attire: @suitsupply | beauty_other: @bridalartistryteam | other: @westtownbakery"
1577,280,"tigerlilyevents",2025-12-13,2025-12-13,0,0.733333,1,1,"https://www.instagram.com/p/DSL1vUcDMkd/","https://www.instagram.com/p/DSL1vUcDMkd/","attire: @alarobe | attire: @indochino | beauty_other: @joannabartistry | beauty_other: @tamaraholdenhair | cake: @bittersweetpastryshop | dj: @toastandjamdjs | florist: @flowersbystem | jeweler: @frankdarling | jeweler: @rebeccaovermannjewelry | musician: @chicagoweddingstrings | photographer: @emullinsphoto | planner: @aelochicago | venue: @tigerlilyevents","venue: @tigerlilyevents | planner: @aelochicago | photographer: @emullinsphoto | florist: @flowersbystem | hair: @tamaraholdenhair | makeup: @joannabartistry | dj: @toastandjamdjs | musician: @chicagoweddingstrings | attire: @alarobe | attire: @indochino | cake: @bittersweetpastryshop | jeweler: @frankdarling | jeweler: @rebeccaovermannjewelry"
1578,281,"loyola_cuneomansion",2025-12-13,2025-12-13,0,0.625,1,1,"https://www.instagram.com/p/DSNeQftEVKi/","https://www.instagram.com/p/DSNeQftEVKi/","cake: @thebakinginstitute | catering: @cateredbydesign | dj: @milkmajer | hair: @beaute_luxe | musician: @essentialjasonnelson | photobooth: @pixterphotobooths | photographer: @colettemariephoto | planner: @lolaeventpros | planner: @lolasanjad | rentals: @aposhproduction | transportation: @the312limo | venue: @loyola_cuneomansion","venue: @loyola_cuneomansion | photographer: @colettemariephoto | hair: @beaute_luxe | dj: @milkmajer | musician: @essentialjasonnelson | cake: @thebakinginstitute | catering: @cateredbydesign | rentals: @aposhproduction | transportation: @the312limo | photobooth: @pixterphotobooths | other: @bobbyburm | other: @lolaeventpros | other: @lolasanjad | other: @stephieswiat"
1644,301,"sarabandechicago",2026-01-07,2026-01-07,0,1,1,1,"https://www.instagram.com/p/DTN7dgOj16W/","https://www.instagram.com/p/DTN7dgOj16W/","catering: @tamalespaceship | dj: @stylemattersdjs | florist: @urbanallureevents | photographer: @tamarapatel_photography | planner: @bustleandlace | venue: @sarabandechicago | videographer: @wholeheartvideo","venue: @sarabandechicago | planner: @bustleandlace | photographer: @tamarapatel_photography | videographer: @wholeheartvideo | florist: @urbanallureevents | dj: @stylemattersdjs | catering: @tamalespaceship"
1681,311,"thelytlehouse",2026-01-16,2026-01-16,0,1,1,1,"https://www.instagram.com/p/DTjWcNWkeNd/","https://www.instagram.com/p/DTjWcNWkeNd/","cake: @stansdonutschicago | catering: @tamalespaceship | photographer: @emmatrevinophoto | venue: @thelytlehouse","venue: @thelytlehouse | photographer: @emmatrevinophoto | cake: @stansdonutschicago | catering: @tamalespaceship"
1691,310,"buildersbldg",2026-01-20,2026-01-16,4,0.875,1,2,"https://www.instagram.com/p/DTtKq0ECUUy/","https://www.instagram.com/p/DTk58yID_VO/ | https://www.instagram.com/p/DTtKq0ECUUy/","attire: @pelumioke_ | dj: @godjmatrix | florist: @mjmoccasions | hair: @glamsquad | hair: @hairbyjalynnn | hotel: @renchicagodowntown | photobooth: @extramomentsphotobooths | photographer: @janellejaquelinephoto | planner: @southwind.events | rentals: @crwevents_rentals | transportation: @midwesttransitsystem | transportation: @sentinelconsultinggrp | venue: @buildersbldg | videographer: @j.j_films","venue: @buildersbldg | planner: @southwind.events | photographer: @janellejaquelinephoto | videographer: @j.j_films | florist: @mjmoccasions | hair: @glamsquad | hair: @hairbyjalynnn | dj: @godjmatrix | attire: @pelumioke_ | rentals: @crwevents_rentals | transportation: @midwesttransitsystem | transportation: @sentinelconsultinggrp | photobooth: @extramomentsphotobooths | hotel: @renchicagodowntown | other: @nicoledeb08 | other: @stefans_words"
1716,319,"thelytlehouse",2026-01-26,2026-01-25,1,1,1,1,"https://www.instagram.com/p/DT8-F4kkV-6/","https://www.instagram.com/p/DT8-F4kkV-6/","cake: @nothingbundtcakes | catering: @tamalespaceship | florist: @flowersflowersevanston | photographer: @renatavoci | venue: @thelytlehouse","venue: @thelytlehouse | photographer: @renatavoci | florist: @flowersflowersevanston | cake: @nothingbundtcakes | catering: @tamalespaceship"
1858,362,"chicagoilluminatingcompany",2026-02-27,2026-02-27,0,0.571429,1,1,"https://www.instagram.com/p/DVPgVhHDdtj/","https://www.instagram.com/p/DVPgVhHDdtj/","attire: @amsale | attire: @bellabiancabridalcouture | catering: @entertaining_co | content_creator: @aforevermore.co | dj: @okynemedialab | florist: @studio_poppy | hair: @eringrahamhair | photographer: @goldenhoursweddings | planner: @lionheartedevents | venue: @chicagoilluminatingcompany","venue: @chicagoilluminatingcompany | planner: @lionheartedevents | photographer: @goldenhoursweddings | videographer: @aforevermore.co | hair: @eringrahamhair | dj: @okynemedialab | attire: @amsale | attire: @bellabiancabridalcouture | catering: @entertaining_co | other: @frostchicago | other: @joeysoluvly | other: @studio_poppy"
1874,365,"maedistrict",2026-03-05,2026-03-04,1,1,1,1,"https://www.instagram.com/p/DVeSza7DYez/","https://www.instagram.com/p/DVeSza7DYez/","beauty_other: @theartistryvibe | catering: @fftchicago | dj: @toastandjamdjs | florist: @ordinary_seed | photographer: @wedoweddingschi | planner: @baroj.events | venue: @maedistrict","venue: @maedistrict | planner: @baroj.events | photographer: @wedoweddingschi | florist: @ordinary_seed | dj: @toastandjamdjs | catering: @fftchicago | beauty_other: @theartistryvibe"
1876,367,"maedistrict",2026-03-05,2026-03-05,0,1,1,1,"https://www.instagram.com/p/DVflYsUjg9y/","https://www.instagram.com/p/DVflYsUjg9y/","cake: @stansdonutschicago | catering: @fftchicago | dj: @best.life.entertainment | florist: @f4dweddings | florist: @flowersfordreams | photographer: @clynnphotography | planner: @moinyett.theeventagency | venue: @maedistrict","venue: @maedistrict | planner: @moinyett.theeventagency | photographer: @clynnphotography | florist: @f4dweddings | florist: @flowersfordreams | dj: @best.life.entertainment | cake: @stansdonutschicago | catering: @fftchicago"
