account_username,mentioned_handle,bio_excerpt
renchicagonorth,renhotels,"om Downtown Chicago @renhotels"
psbrewingco,prairiestreetevents,"rivate events visit @prairiestreetevents ✨"
renhotels,marriottbonvoy.,"rThisWay. Member of @marriottbonvoy. #RenHotels"
sellersvilletheater,the.washington.house," more. Next door to @the.washington.house"
quince.atx,quince.collection,"Part of the @quince.collection Ranked “#1 New Pat"
prairiestreetevents,psbrewingco,"nd restaurant visit @psbrewingco"
preservingconcerts,preservingrecordshop,"he DIY Room.  Check @preservingrecordshop for our record sto"
sanmontanoresort,relaischateaux,"  Italy.  Member of @relaischateaux"
saltshedchicago,16occhicago,"ton Salt complex. a @16occhicago project"
royalsonestarivernorth,cbrchicago,"t-Friendly Travel 🥂@cbrchicago  💍Weddings & Even"
