label_raw,n,rules_roles,rules_context,rules_participant,rule_id,expected_roles,expected_context,expected_participant,note
venue,6762,venue,wedding_day,,exact,,,,
photography,2868,photographer,wedding_day,,exact,,,,
planner,2799,planner,wedding_day,,exact,,,,
catering,2787,catering,wedding_day,,exact,,,,
photographer,2515,photographer,wedding_day,,exact,,,,
dj,2401,dj,wedding_day,,exact,,,,
planning,2381,planner,wedding_day,,exact,,,,
hair,2345,hair,wedding_day,,exact,,,,
rentals,2147,rentals,wedding_day,,exact,,,,
photo,2008,photographer,wedding_day,,exact,,,,
cake,2006,cake,wedding_day,,exact,,,,
florals,2006,florist,wedding_day,,exact,,,,
makeup,1934,makeup,wedding_day,,exact,,,,
dress,1809,attire,wedding_day,,exact,,,,
floral,1517,florist,wedding_day,,exact,,,,
florist,1468,florist,wedding_day,,exact,,,,
at @,1296,venue,wedding_day,,exact,,,,
entertainment,1254,dj,wedding_day,,exact,,,,
video,1204,videographer,wedding_day,,exact,,,,
band,1088,band,wedding_day,,exact,,,,
linens,806,rentals,wedding_day,,exact,,,,
hair & makeup,779,hair|makeup,wedding_day,,exact,,,,
transportation,769,transportation,wedding_day,,exact,,,,
videography,730,videographer,wedding_day,,exact,,,,
decor,713,decor_other,wedding_day,,exact,,,,
beauty,697,hair|makeup,wedding_day,,exact,,,,
videographer,654,videographer,wedding_day,,exact,,,,
lighting,620,lighting_production,wedding_day,,exact,,,,
bride,573,,wedding_day,bride,participant,,,,
stationery,534,stationery,wedding_day,,exact,,,,
couple,524,,wedding_day,couple,participant,,,,
content creator,495,content_creator,wedding_day,,exact,,,,
caterer,460,catering,wedding_day,,exact,,,,
music,445,live_music,wedding_day,,exact,,,,
photos,427,photographer,wedding_day,,exact,,,,
photo booth,416,photo_booth,wedding_day,,exact,,,,
#hashtag,373,venue,wedding_day,,exact,,,,
coordinator,371,coordinator,wedding_day,,exact,,,,
suit,361,attire,wedding_day,,exact,,,,
models,349,,wedding_day,model,participant,,,,
photobooth,348,photo_booth,wedding_day,,exact,,,,
gown,344,attire,wedding_day,,exact,,,,
hotel,338,accommodations,wedding_day,,exact,,,,
hair and makeup,333,hair|makeup,wedding_day,,exact,,,,
design,332,event_design,wedding_day,,exact,,,,
hmu,331,hair|makeup,wedding_day,,exact,,,,
sp couple,316,,wedding_day,couple,participant,,,,
flowers,309,florist,wedding_day,,exact,,,,
