label_raw,n,v9_roles,d056_roles,event_context,participant,rule_id
venue,6762,venue,venue,wedding_day,,exact
photography,2868,photographer,photographer,wedding_day,,exact
planner,2799,planner,planner,wedding_day,,exact
catering,2787,catering,catering,wedding_day,,exact
photographer,2515,photographer,photographer,wedding_day,,exact
dj,2401,dj,dj,wedding_day,,exact
planning,2381,planner,planner,wedding_day,,exact
hair,2345,hair,hair,wedding_day,,exact
rentals,2147,rentals,rentals,wedding_day,,exact
photo,2008,photographer,photographer,wedding_day,,exact
cake,2006,cake,cake,wedding_day,,exact
florals,2006,florist,florist,wedding_day,,exact
makeup,1934,makeup,makeup,wedding_day,,exact
dress,1809,attire,attire,wedding_day,,exact
floral,1517,florist,florist,wedding_day,,exact
florist,1468,florist,florist,wedding_day,,exact
at @,1296,venue,venue,wedding_day,,exact
entertainment,1254,dj,dj,wedding_day,,exact
video,1204,videographer,videographer,wedding_day,,exact
band,1088,band,band,wedding_day,,exact
linens,806,rentals,rentals,wedding_day,,exact
hair & makeup,779,hair,hair|makeup,wedding_day,,exact
transportation,769,transportation,transportation,wedding_day,,exact
videography,730,videographer,videographer,wedding_day,,exact
decor,713,rentals,decor_other,wedding_day,,exact
beauty,697,beauty_other,hair|makeup,wedding_day,,exact
videographer,654,videographer,videographer,wedding_day,,exact
lighting,620,other,lighting_production,wedding_day,,exact
bride,573,other,,wedding_day,bride,participant
stationery,534,stationery,stationery,wedding_day,,exact
couple,524,other,,wedding_day,couple,participant
content creator,495,content_creator,content_creator,wedding_day,,exact
caterer,460,catering,catering,wedding_day,,exact
music,445,musician,live_music,wedding_day,,exact
photos,427,photographer,photographer,wedding_day,,exact
photo booth,416,photobooth,photo_booth,wedding_day,,exact
#hashtag,373,venue,venue,wedding_day,,exact
coordinator,371,planner,coordinator,wedding_day,,exact
suit,361,attire,attire,wedding_day,,exact
models,349,other,,wedding_day,model,participant
photobooth,348,photobooth,photo_booth,wedding_day,,exact
gown,344,attire,attire,wedding_day,,exact
hotel,338,hotel,accommodations,wedding_day,,exact
hair and makeup,333,hair,hair|makeup,wedding_day,,exact
design,332,other,event_design,wedding_day,,exact
hmu,331,beauty_other,hair|makeup,wedding_day,,exact
sp couple,316,other,,wedding_day,couple,participant
flowers,309,florist,florist,wedding_day,,exact
stationary,306,stationery,stationery,wedding_day,,exact
linen,293,rentals,rentals,wedding_day,,exact
wedding planner,289,planner,planner,wedding_day,,exact
hmua,287,beauty_other,hair|makeup,wedding_day,,exact
venue management & bar,286,venue,venue_management|bar_service,wedding_day,,exact
mua,276,beauty_other,makeup,wedding_day,,exact
coordination,257,planner,coordinator,wedding_day,,exact
planning & design,255,planner,planner|event_design,wedding_day,,exact
wedding dress,253,attire,attire,wedding_day,,exact
groom,247,other,,wedding_day,groom,participant
invitations,243,stationery,stationery,wedding_day,,exact
officiant,228,officiant,officiant,wedding_day,,exact
dessert,225,cake,desserts,wedding_day,,exact
jewelry,214,jeweler,jewelry,wedding_day,,exact
tux,209,attire,attire,wedding_day,,exact
reception,209,venue,venue,reception,,phase_venue
hair + makeup,207,hair,hair|makeup,wedding_day,,exact
floral design,202,florist,florist,wedding_day,,exact
content,201,videographer,content_creator,wedding_day,,exact
rings,195,jeweler,jewelry,wedding_day,,exact
shoes,184,attire,accessories,wedding_day,,exact
content creation,184,videographer,content_creator,wedding_day,,exact
glam,169,other,makeup,wedding_day,,exact
planning and design,162,planner,planner|event_design,wedding_day,,exact
desserts,155,cake,desserts,wedding_day,,exact
tent,153,other,tent,wedding_day,,exact
paper goods,152,stationery,stationery,wedding_day,,exact
photo credit,152,photographer,photographer,wedding_day,,exact
production,145,other,lighting_production,wedding_day,,exact
hair stylist,143,hair,hair,wedding_day,,exact
at @ (secondary/stay),143,other,accommodations,getting_ready,,exact
model,140,other,,wedding_day,model,participant
ceremony,139,venue,venue,ceremony,,phase_venue
photography by,129,photographer,photographer,wedding_day,,exact
venue & catering,123,venue,venue|catering,wedding_day,,exact
floral & decor,122,florist,florist|decor_other,wedding_day,,exact
florals & decor,122,florist,florist|decor_other,wedding_day,,exact
alcohol,120,other,bar_service,wedding_day,,exact
make up,118,other,makeup,wedding_day,,exact
bakery,118,cake,cake,wedding_day,,exact
beauty team,117,beauty_other,hair|makeup,wedding_day,,exact
makeup artist,116,makeup,makeup,wedding_day,,exact
host,116,other,,wedding_day,host_family,participant
bar,116,other,bar_service,wedding_day,,exact
location,115,other,venue,wedding_day,,exact
gowns,115,attire,attire,wedding_day,,exact
menswear,112,attire,attire,wedding_day,,exact
bridal attire,111,attire,attire,wedding_day,,exact
tabletop,102,other,rentals,wedding_day,,exact
cover photo,101,photographer,photographer,wedding_day,,exact
dresses,100,attire,attire,wedding_day,,exact
bridal gown,99,attire,attire,wedding_day,,exact
chairs,98,hair,rentals,wedding_day,,exact
second photographer,98,photographer,second_shooter,wedding_day,,exact
suits,97,attire,attire,wedding_day,,exact
attire,97,attire,attire,wedding_day,,exact
accommodations,97,other,accommodations,wedding_day,,exact
reception venue,95,venue,venue,reception,,phase_venue
hair & makeup by yours truly,93,hair,hair|makeup,wedding_day,,exact
styling,93,other,event_design,wedding_day,,exact
live painter,89,other,live_painter,wedding_day,,exact
bridesmaids dresses,87,attire,attire,wedding_day,,exact
photos by,87,photographer,photographer,wedding_day,,exact
photo team,87,photographer,photographer,wedding_day,,exact
church,85,venue,venue,ceremony,,phase_venue
event planner,83,planner,planner,wedding_day,,exact
draping,82,other,lighting_production,wedding_day,,exact
photo & video,82,photographer,photographer|videographer,wedding_day,,exact
bridesmaid dresses,81,attire,attire,wedding_day,,exact
veil,78,other,accessories,wedding_day,,exact
floral + decor,78,florist,florist|decor_other,wedding_day,,exact
transport,78,transportation,transportation,wedding_day,,exact
planners,77,planner,planner,wedding_day,,exact
film,76,videographer,videographer,wedding_day,,exact
valet,76,other,valet,wedding_day,,exact
jeweler,75,jeweler,jewelry,wedding_day,,exact
photo + video,75,photographer,photographer|videographer,wedding_day,,exact
stylist,75,other,event_design,wedding_day,,exact
dress designer,75,attire,attire,wedding_day,,exact
dresser,75,attire,attire,wedding_day,,exact
ceremony music,72,musician,live_music,ceremony,,exact
cinematography,72,other,videographer,wedding_day,,exact
signage,72,other,signage,wedding_day,,exact
hair & make up,71,hair,hair|makeup,wedding_day,,exact
groom attire,71,attire,attire,wedding_day,,exact
design + floral,70,florist,florist|event_design,wedding_day,,exact
muse,68,other,,wedding_day,muse,participant
tableware,68,other,rentals,wedding_day,,exact
henna,67,other,beauty_services,wedding_day,,exact
hair + beauty,67,hair,hair|makeup,wedding_day,,exact
hosts,64,other,,wedding_day,host_family,participant
planning + design,64,planner,planner|event_design,wedding_day,,exact
violinist,63,other,live_music,wedding_day,,exact
bridesmaids,63,other,attire,wedding_day,,exact
sweets,62,other,desserts,wedding_day,,exact
photographers,61,photographer,photographer,wedding_day,,exact
make,60,other,makeup,wedding_day,,exact
accessories,59,other,accessories,wedding_day,,exact
photo by,59,photographer,photographer,wedding_day,,exact
live music,59,musician,live_music,wedding_day,,exact
rental,58,rentals,rentals,wedding_day,,exact
cinema,58,other,videographer,wedding_day,,exact
wedding cake,58,cake,cake,wedding_day,,exact
ceremony venue,57,venue,venue,ceremony,,phase_venue
groom’s attire,57,attire,attire,wedding_day,,exact
second shooter,55,other,second_shooter,wedding_day,,exact
wedding coordinator,53,planner,coordinator,wedding_day,,exact
hair by,52,hair,hair,wedding_day,,exact
ceremony musicians,52,musician,live_music,ceremony,,exact
cinematographer,52,other,videographer,wedding_day,,exact
day of coordinator,51,planner,coordinator,wedding_day,,exact
calligraphy,51,other,calligraphy,wedding_day,,exact
wedding gown,51,attire,attire,wedding_day,,exact
invitation,51,stationery,stationery,wedding_day,,exact
trolley,49,other,transportation,wedding_day,,exact
late night snack,49,other,desserts,wedding_day,,exact
venues,48,venue,venue,wedding_day,,exact
rehearsal dinner,48,catering,venue,rehearsal_dinner,,phase_venue
glam for,47,other,makeup,wedding_day,,exact
musicians,45,musician,live_music,wedding_day,,exact
strings,45,musician,live_music,wedding_day,,exact
