label_raw,current_role,n,handles
venue,venue,6762,1379
photography,photographer,2868,777
planner,planner,2799,671
catering,catering,2787,407
photographer,photographer,2515,789
dj,dj,2401,629
planning,planner,2381,539
hair,hair,2345,784
rentals,rentals,2147,348
photo,photographer,2008,663
cake,cake,2006,442
florals,florist,2006,639
makeup,makeup,1934,582
dress,attire,1809,492
floral,florist,1517,376
florist,florist,1468,477
at @,venue,1296,626
entertainment,dj,1254,315
video,videographer,1204,349
band,band,1088,211
linens,rentals,806,50
hair & makeup,hair,779,248
transportation,transportation,769,150
videography,videographer,730,209
decor,rentals,713,191
beauty,beauty_other,697,227
videographer,videographer,654,251
lighting,other,620,81
bride,other,573,386
stationery,stationery,534,153
couple,other,524,361
content creator,content_creator,495,135
caterer,catering,460,160
music,musician,445,164
photos,photographer,427,146
photo booth,photobooth,416,116
#hashtag,venue,373,71
coordinator,planner,371,181
suit,attire,361,91
models,other,349,199
photobooth,photobooth,348,106
gown,attire,344,134
hotel,hotel,338,112
hair and makeup,hair,333,140
design,other,332,70
hmu,beauty_other,331,153
sp couple,other,316,152
flowers,florist,309,133
stationary,stationery,306,113
linen,rentals,293,19
wedding planner,planner,289,129
hmua,beauty_other,287,123
venue management & bar,venue,286,1
mua,beauty_other,276,160
coordination,planner,257,118
planning & design,planner,255,111
wedding dress,attire,253,114
groom,other,247,160
invitations,stationery,243,86
officiant,officiant,228,76
dessert,cake,225,108
jewelry,jeweler,214,89
tux,attire,209,58
reception,venue,209,127
hair + makeup,hair,207,78
floral design,florist,202,80
content,videographer,201,74
rings,jeweler,195,100
shoes,attire,184,54
content creation,videographer,184,67
glam,other,169,75
planning and design,planner,162,48
desserts,cake,155,85
tent,other,153,28
paper goods,stationery,152,53
photo credit,photographer,152,63
production,other,145,31
hair stylist,hair,143,70
at @ (secondary/stay),other,143,101
model,other,140,82
ceremony,venue,139,78
photography by,photographer,129,55
venue & catering,venue,123,55
floral & decor,florist,122,52
florals & decor,florist,122,36
alcohol,other,120,6
make up,other,118,58
bakery,cake,118,53
beauty team,beauty_other,117,47
makeup artist,makeup,116,67
host,other,116,38
bar,other,116,48
location,other,115,69
gowns,attire,115,50
menswear,attire,112,35
bridal attire,attire,111,31
tabletop,other,102,14
cover photo,photographer,101,65
dresses,attire,100,44
bridal gown,attire,99,51
chairs,hair,98,21
second photographer,photographer,98,55
suits,attire,97,36
attire,attire,97,45
accommodations,other,97,48
reception venue,venue,95,67
hair & makeup by yours truly,hair,93,1
styling,other,93,22
live painter,other,89,34
bridesmaids dresses,attire,87,27
photos by,photographer,87,67
photo team,photographer,87,40
church,venue,85,34
event planner,planner,83,48
draping,other,82,33
photo & video,photographer,82,44
bridesmaid dresses,attire,81,19
veil,other,78,37
floral + decor,florist,78,19
transport,transportation,78,22
planners,planner,77,30
film,videographer,76,28
valet,other,76,11
jeweler,jeweler,75,42
photo + video,photographer,75,28
stylist,other,75,31
dress designer,attire,75,43
dresser,attire,75,9
ceremony music,musician,72,33
cinematography,other,72,27
signage,other,72,42
hair & make up,hair,71,27
groom attire,attire,71,22
design + floral,florist,70,15
muse,other,68,34
tableware,other,68,15
henna,other,67,24
hair + beauty,hair,67,12
hosts,other,64,22
planning + design,planner,64,31
violinist,other,63,30
bridesmaids,other,63,16
sweets,other,62,33
photographers,photographer,61,44
make,other,60,42
accessories,other,59,22
photo by,photographer,59,27
live music,musician,59,32
rental,rentals,58,19
cinema,other,58,19
wedding cake,cake,58,21
ceremony venue,venue,57,33
groom’s attire,attire,57,26
second shooter,other,55,35
wedding coordinator,planner,53,36
hair by,hair,52,33
ceremony musicians,musician,52,14
cinematographer,other,52,15
day of coordinator,planner,51,31
calligraphy,other,51,24
wedding gown,attire,51,28
invitation,stationery,51,23
trolley,other,49,10
late night snack,other,49,27
venues,venue,48,42
rehearsal dinner,catering,48,27
glam for,other,47,17
musicians,musician,45,30
strings,musician,45,22
dance floor,other,45,20
wedding dresser,attire,44,12
photo and video,photographer,44,8
av,other,44,9
getting ready,other,42,26
bridal boutique,attire,42,22
spray tan,other,42,16
hotels,hotel,42,26
tabletop rentals,rentals,42,14
drapery,other,41,18
food,catering,41,27
vintage car,other,41,13
mariachi,other,40,12
featured on,other,39,3
day of coordination,planner,39,23
h&mu,other,39,23
hamu,other,39,19
furniture,other,39,15
groom’s tux,attire,38,20
makeup by,makeup,38,30
bride’s dress,attire,38,20
cake + sweets,cake,37,16
lighting & draping,other,37,12
pc,other,37,18
dress shop,attire,37,22
event design,other,37,18
paper,stationery,37,22
venue + catering,venue,37,26
floral & design,florist,37,19
planning & coordination,planner,36,15
tables,other,36,7
venue partners,other,36,3
live band,band,36,20
specialty rentals,rentals,36,16
bride’s attire,attire,36,27
the team that captured it all,other,35,7
bridal hair,hair,35,18
lighting & production,other,35,4
stationer,other,35,21
beauty + hair,hair,35,10
bride’s shoes,attire,35,22
staff,other,34,1
bridal shop,attire,34,23
bride’s gown,attire,34,23
alterations,attire,34,14
harpist,other,34,19
founder,other,34,3
wedding venue,venue,33,22
designer,other,33,23
bride & groom,other,33,27
nails,other,33,23
assistant,other,33,11
second dress,attire,33,16
outfit,attire,33,31
video by,videographer,33,12
day,other,33,23
muah,beauty_other,32,24
decor & floral,florist,32,14
design & decor,rentals,32,14
bride and groom,other,32,12
creative direction,other,32,13
coffee cart,other,31,14
invites,other,31,19
reception dress,attire,31,21
tenting,other,30,8
makeup & hair,hair,30,23
baker,other,29,20
floral and decor,florist,29,17
event,other,29,13
cookies,other,28,13
saxophonist,musician,28,15
late night snacks + desserts,cake,28,7
sotwi speakers,other,28,7
candles,other,28,6
ceremony & reception venue,venue,27,14
contentday,videographer,27,3
thegatheringloftevents,jeweler,27,1
ice sculpture,other,27,7
dance lessons,other,27,8
artists,other,26,25
cake & desserts,cake,26,16
ice cream cart,other,26,9
cakes,cake,26,14
second shot for,other,26,20
after party dj,dj,25,8
speakers,other,25,18
content creators,content_creator,25,7
getting ready location,other,25,15
violin,other,25,11
lighting and drapery,other,24,4
event designer,other,24,9
planning by,planner,24,18
earrings,jeweler,24,13
ceremony dress,attire,24,12
groom’s suit,attire,24,13
bridesmaids’ dresses,attire,24,12
executive production team,other,24,3
sg planner,planner,24,10
wedding planning,planner,24,14
photography & videography,photographer,23,11
wardrobe styling,other,23,4
boat,other,23,14
liquor,other,23,3
backdrop,other,23,6
makeup by yours truly,makeup,22,4
catering & bar,catering,22,8
paper products,stationery,22,8
bridal styling,attire,22,4
print details,other,22,2
grazing table,other,22,4
guys attire,attire,22,5
mc,other,22,17
brides dress designer + shop,attire,22,14
bride attire,attire,21,12
furniture rentals,rentals,21,8
workshop,other,21,7
guest transport,transportation,21,4
event planning,planner,21,13
ballerina,other,21,3
studio,other,21,8
bridal makeup,makeup,21,12
bridal gowns,attire,21,10
bridal dress,attire,21,12
makeup + hair,hair,21,8
grooms attire,attire,21,12
tuxedo,attire,21,14
social content,videographer,21,4
lead photographer,photographer,20,15
planning and production,planner,20,7
calligrapher,other,20,5
hair & mua,hair,20,19
bts photo,photographer,20,5
dog nanny,other,20,3
wedding bands,band,20,13
favors,other,20,14
ice cream,other,20,12
florals & design,florist,20,14
event coordinator,planner,20,12
celebrant,other,19,7
invitation suite,attire,19,13
decor & design,rentals,19,10
ketubah,other,19,8
wedding rings,jeweler,19,7
linens & rentals,rentals,19,6
publication,other,19,6
tan,other,19,11
champagne tower,other,19,4
hair & make,hair,19,15
rehearsal dinner venue,other,19,6
styling & planning,planner,19,3
late night,other,19,10
getting ready hotel,hotel,18,12
event rentals,rentals,18,7
bartending,other,18,13
rentals and set design,rentals,18,2
welcome party,other,18,10
ice luge,other,18,6
saxophone,musician,18,11
sax,musician,18,12
live wedding painter,other,18,9
performers,other,18,15
local partners,other,18,3
instagram,other,18,13
printables,other,18,7
cuisine,other,18,2
ring,jeweler,18,12
musical entertainment,dj,18,11
tuxes,attire,18,14
live artist,other,18,12
cigars,other,17,3
decor and design,rentals,17,8
bouquet,other,17,12
wedding dress designer,attire,17,10
dress store,attire,17,11
rentals & linen,rentals,17,5
brides people attire,attire,17,9
rentals & decor,rentals,17,13
hair by me,hair,17,3
event host,other,17,7
printed items,other,17,5
decor rentals,rentals,17,6
stationery & signage,stationery,17,6
second,other,16,10
floral bar,florist,16,1
makeup by me,makeup,16,4
coffee,other,16,10
mobile bar,other,16,6
getting ready venue,other,16,8
wp,other,16,10
photog,photographer,16,14
print goods,other,16,3
hair & makeup by me,hair,16,3
the bride,other,16,9
table top rentals,rentals,16,6
string quartet,jeweler,16,12
hair + mua,hair,16,10
furniture rental,rentals,16,7
live musicians,musician,16,8
bride’s hair,hair,16,10
second look,other,16,6
other vendors,other,16,12
artist,other,16,14
invitations & stationery,stationery,16,4
outfits,attire,15,9
filmmaker,videographer,15,7
bride’s makeup,makeup,15,9
engagement ring,jeweler,15,9
wedding content creator,content_creator,15,5
hair and make,hair,15,8
entertainment by,dj,15,6
live painting,other,15,10
cigar roller,other,15,7
bridal wear,attire,15,4
bridal,attire,15,10
balloons,other,15,8
bride’s dress & veil,attire,15,9
experiences,other,15,5
after party,other,15,13
ceremony & reception,venue,15,13
glass placemats,other,15,1
photo assistant,photographer,15,10
decor & florals,florist,15,8
boutique,other,15,6
mocktails,other,15,8
grooms,other,14,10
planning and decor,planner,14,4
floral designer,florist,14,10
gloves,other,14,4
the groom,other,14,8
dhol,other,14,9
floral team,florist,14,6
decorators,rentals,14,7
mehndi,other,14,7
lounge,other,14,6
menus,other,14,6
live entertainment,dj,14,6
bts content,videographer,14,7
assistant design collaboration,other,14,1
food truck,catering,14,9
dj entertainment,dj,14,2
musician,musician,14,9
sound,other,14,8
for,other,14,6
partners,other,14,14
design & floral,florist,14,10
bridesmaid attire,attire,13,8
wedding gowns,attire,13,6
cocktail sponsors,other,13,4
hairstylist,hair,13,10
blush,other,13,9
florals + decor,florist,13,9
reception band,band,13,8
signage & stationery,stationery,13,4
assistant photographer,photographer,13,7
lighting and draping,other,13,7
ss,other,13,9
film dev,videographer,13,4
chargers,other,13,5
ceremony strings,musician,13,6
caterers,catering,13,8
bridesmaids hair,hair,13,5
design & planning,planner,13,7
editorial for,other,13,1
linens & chargers,rentals,13,3
cocktail music,musician,13,5
full planning,planner,13,5
reception entertainment,dj,13,8
brides,other,13,9
h&m,other,13,10
wedding photography,photographer,13,4
second shooters,other,12,5
arch,other,12,2
dj & photo booth,photobooth,12,8
harp,other,12,5
beverage,other,12,5
design and decor,rentals,12,6
accomodations,other,12,10
logistics,other,12,5
the decor,rentals,12,6
planning and concept design,planner,12,1
bridal details,attire,12,2
floral and design,florist,12,7
seating chart,other,12,9
henna artist,other,12,8
choir,other,12,3
bts,other,12,7
mariachi band,band,12,7
lighting + draping,other,12,4
cake and desserts,cake,12,8
graphic design,other,12,4
bride’s hair & makeup,hair,12,11
prep hotel,hotel,12,7
lighting + sound,other,12,3
client,other,12,10
bride’s jewelry,jeweler,12,11
decor styling,rentals,12,2
hotel sponsors,hotel,12,2
photo lead,photographer,12,1
groom tux & accessories,attire,12,6
gelato,other,12,10
hair stylists,hair,12,7
bride makeup,makeup,12,5
sangeet entertainment,dj,12,3
portrait location,other,12,5
diamonds,other,11,4
hair and makeup by,hair,11,6
bts photographer,photographer,11,2
reception music,musician,11,10
vendor team,other,11,11
a/v,other,11,6
glam on,other,11,7
printing,other,11,5
specialty linens,rentals,11,3
planning team,planner,11,6
lighting & decor,rentals,11,4
bridal mehndi,attire,11,2
venue & caterer,venue,11,5
bridal accessories,attire,11,5
custom signage,other,11,4
welcome sign,other,11,6
photography and videography,photographer,11,7
venue and catering,venue,11,9
bridal salon,attire,11,5
bridal gown & accessories,attire,11,6
bm dresses,attire,11,7
table designers,other,11,11
videographers,videographer,11,7
on,other,11,7
tablescape,other,11,3
wedding attire,attire,11,7
cover photo by,photographer,11,8
gromswear,other,11,7
cake & sweets,cake,11,6
bridal shoes,attire,11,8
chair,hair,11,2
participating venues,venue,11,11
guest transportation,transportation,11,4
bar rental,rentals,10,3
late night snacks,other,10,10
planner & designer,planner,10,5
tailor,other,10,4
bride’s dresses,attire,10,6
fashion,other,10,10
chargers & flatware,other,10,1
chuppah fabric,other,10,1
sangeet venue,other,10,5
sax player,musician,10,5
quartet,other,10,4
full service planning & design,planner,10,3
bridesmaids dress,attire,10,4
with,other,10,10
lighting + production,other,10,2
lips,other,10,6
floral artist & design,florist,10,1
wedding band,band,10,4
afterparty dj,dj,10,7
weather concierge,other,10,1
groom and groomsmen attire,attire,10,6
locations,other,10,9
wedding jewelry,jeweler,10,5
concept + planning,planner,10,2
marquee letters,other,10,9
stage,other,10,5
dog wedding attendant,other,10,1
chairs & lounge,hair,10,2
venue + bar,venue,10,5
flower design,florist,10,4
kippot,other,10,1
newlyweds,other,10,4
decor by,rentals,10,6
panel,other,10,5
planning & conceptual design,planner,10,1
planning & catering,planner,10,1
participating companies,other,10,10
the video,videographer,10,2
camera,other,9,2
limo,transportation,9,6
music by,musician,9,7
boba,other,9,4
bridal wardrobe,attire,9,5
wedding stationary,stationery,9,7
parish,venue,9,1
accommodation,other,9,6
wine,other,9,6
make up & hair,hair,9,4
huge thanks to our amazing sponsors,other,9,9
foundation,other,9,6
concept,other,9,4
lip,other,9,7
fireworks,other,9,6
pianist,other,9,3
mehendi,other,9,3
flowers design,florist,9,4
rentals and linens,rentals,9,3
singer,other,9,5
napkins,other,9,3
escort card illustrations,other,9,1
shot by,other,9,9
drone,other,9,6
custom veil,other,9,1
film lab,videographer,9,7
cupcakes,cake,9,5
design and flowers,florist,9,3
cocktails,other,9,5
signage & custom work,other,9,3
brides dress,attire,9,8
bride dress,attire,9,7
tuscany romance,other,9,9
hair by yours truly,hair,9,3
l drone,other,9,2
planning & decor,planner,9,4
