post_url,parser_version,line_no,handle,label_raw,old_role,new_role,old_rule_id,new_rule_id
"https://www.instagram.com/p/C__piNzPevD/","stack-parser-ts-v10",13,"readyorknot","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C__YAi-SI7I/","stack-parser-ts-v10",4,"embellishtrend786","Bridal Outfit","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_1Oi6Bvawg/","stack-parser-ts-v10",20,"honeybridal","Dress Shop","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_1SHrjTSZD/","stack-parser-ts-v10",21,"ivoryandwhiteboutique","dress boutique","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_1SHrjTSZD/","stack-parser-ts-v10",22,"martinalianabridal","dress designer","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_1SHrjTSZD/","stack-parser-ts-v10",23,"jreisscustomclothier","groom’s tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_1SHrjTSZD/","stack-parser-ts-v10",24,"lindacunninghamjax","mob dress","attire","wedding_dress","h.attire","h.wedding_dress"
"https://www.instagram.com/p/C_28ZzjOfZY/","stack-parser-ts-v10",17,"graceandivoryofficial","Dress & veil","accessories","wedding_dress","compound(exact+exact)","compound(exact+exact)"
"https://www.instagram.com/p/C_28ZzjOfZY/","stack-parser-ts-v10",17,"graceandivoryofficial","Dress & veil","attire","wedding_dress","compound(exact+exact)","compound(exact+exact)"
"https://www.instagram.com/p/C_28ZzjOfZY/","stack-parser-ts-v10",20,"shop.kaileep","Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/C_307sUPdzY/","stack-parser-ts-v10",12,"theweddingdresser","Dresser","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_5y-UIO74w/","stack-parser-ts-v10",9,"ettetailor","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_5y-UIO74w/","stack-parser-ts-v10",10,"suitsupply","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_6ElXTvRnf/","stack-parser-ts-v10",8,"madewithlovebridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_6ElXTvRnf/","stack-parser-ts-v10",8,"bellableubridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_8zeXNvXtn/","stack-parser-ts-v10",17,"weddingshoppemi","Wedding Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_8zeXNvXtn/","stack-parser-ts-v10",18,"menswearhouse","Suits","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_bhLeeJRQj/","stack-parser-ts-v10",6,"cloudninebridalpeoria","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_bp1MQvN2b/","stack-parser-ts-v10",10,"annebargebridalatelier","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_BPlxGPjjP/","stack-parser-ts-v10",17,"madewithlove","Dresses","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_BPlxGPjjP/","stack-parser-ts-v10",18,"friartux","Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_BPlxGPjjP/","stack-parser-ts-v10",24,"karlaroblebride","Veil","accessories","veil_headpiece","exact","exact"
"https://www.instagram.com/p/C_bprAePAN-/","stack-parser-ts-v10",11,"simplyyoursbridal","Wedding Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_bprAePAN-/","stack-parser-ts-v10",13,"theblacktux","Suits","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_bvnMvPz1f/","stack-parser-ts-v10",8,"bellabiancabridalcouture","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_bvnMvPz1f/","stack-parser-ts-v10",8,"lihihod","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_bZr15xM4P/","stack-parser-ts-v10",11,"chosenbykyha","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_bZr15xM4P/","stack-parser-ts-v10",11,"aliceinivorybridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_CdAJPOpir/","stack-parser-ts-v10",15,"romonakevezacollection","Bride’s Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_d44hUP--t/","stack-parser-ts-v10",11,"theweddingdresser","Dresser","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_dg7P0IKmN/","stack-parser-ts-v10",9,"essenseofaustralia","Bride’s Ceremony Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_dg7P0IKmN/","stack-parser-ts-v10",9,"reddington.bridal","Bride’s Ceremony Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_dg7P0IKmN/","stack-parser-ts-v10",10,"jennyyoonyc","Bride’s Reception Gown","attire","wedding_dress","exact.ctx","exact.ctx"
"https://www.instagram.com/p/C_dg7P0IKmN/","stack-parser-ts-v10",16,"enzocustom","Groom’s Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_dlKvcxEKz/","stack-parser-ts-v10",11,"aliceinivorybridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_dlKvcxEKz/","stack-parser-ts-v10",11,"chosenbykyha","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_DmHUyJ0QF/","stack-parser-ts-v10",13,"galxndrstyle","Custom Tux","attire","menswear","exact.stripped","exact.stripped"
"https://www.instagram.com/p/C_Dy2_Vx3rM/","stack-parser-ts-v10",16,"formallymodern","🤵🏻‍♂️","attire","menswear","emoji","emoji"
"https://www.instagram.com/p/C_eHcYnPDQV/","stack-parser-ts-v10",15,"bellebridalatelier","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_eHcYnPDQV/","stack-parser-ts-v10",15,"viviennewestwood","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_eHcYnPDQV/","stack-parser-ts-v10",16,"prada","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_eJH4aur9l/","stack-parser-ts-v10",5,"mysiebytahira","Bride’s Outfit","attire","wedding_dress","exact.stripped","exact.stripped"
"https://www.instagram.com/p/C_eJH4aur9l/","stack-parser-ts-v10",7,"republicbyomarfarooq","Groom’s Outfit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_f9jQWROEI/","stack-parser-ts-v10",8,"aliceinivorybridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_f9jQWROEI/","stack-parser-ts-v10",8,"lihihod","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_gCzaBRxz-/","stack-parser-ts-v10",10,"allisonwebbnyc","Bridal Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_gOn4Sv5Q2/","stack-parser-ts-v10",6,"jennyyoonyc","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_gOn4Sv5Q2/","stack-parser-ts-v10",7,"bonobos","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_gQTyJv6ql/","stack-parser-ts-v10",6,"agency8bridalstylist","Wardrobe Styling","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_gQTyJv6ql/","stack-parser-ts-v10",7,"rimearodaky","Wedding Gowns","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_gQTyJv6ql/","stack-parser-ts-v10",8,"thegroomshopnyc","Suiting/Tux","attire","menswear","compound(exact+exact)","compound(exact+exact)"
"https://www.instagram.com/p/C_gQTyJv6ql/","stack-parser-ts-v10",9,"ronnykobo","Additional Wardrobe","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_gQTyJv6ql/","stack-parser-ts-v10",10,"silkthreadsocial","Bridal Suit/Accessories","accessories","menswear","compound(exact.stripped+exact)","compound(exact.stripped+exact)"
"https://www.instagram.com/p/C_gQTyJv6ql/","stack-parser-ts-v10",10,"silkthreadsocial","Bridal Suit/Accessories","attire","menswear","compound(exact.stripped+exact)","compound(exact.stripped+exact)"
"https://www.instagram.com/p/C_hFI_jOrDm/","stack-parser-ts-v10",13,"simplyyoursbridal","Wedding Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_hFI_jOrDm/","stack-parser-ts-v10",15,"theblacktux","Suits","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_hKReJvID7/","stack-parser-ts-v10",17,"luv_bridal","Dresses","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_hKReJvID7/","stack-parser-ts-v10",18,"friartux","Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_HQihlPpXu/","stack-parser-ts-v10",6,"jennyyoonyc","dress👗","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_HQihlPpXu/","stack-parser-ts-v10",7,"whichgoose","veil","accessories","veil_headpiece","exact","exact"
"https://www.instagram.com/p/C_HQihlPpXu/","stack-parser-ts-v10",8,"guilhermimashoes","shoes 👠","accessories","shoes","exact","exact"
"https://www.instagram.com/p/C_HQihlPpXu/","stack-parser-ts-v10",12,"suitsupply","groom/groomsmen attire🤵‍♂️","attire","menswear","compound(exact)","compound(exact)"
"https://www.instagram.com/p/C_iGmZ7OoCA/","stack-parser-ts-v10",15,"eisen.stein.bridal","Bridal Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_iGmZ7OoCA/","stack-parser-ts-v10",16,"badgleymischkabride","Bridesmaid Attire","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/C_inLPdx8v8/","stack-parser-ts-v10",7,"mira_couture","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_J4WoWv-j2/","stack-parser-ts-v10",13,"honey_bridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_J4WoWv-j2/","stack-parser-ts-v10",13,"truvellebridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_JbEXsyXaS/","stack-parser-ts-v10",19,"herecomesthebrideinc","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_JbEXsyXaS/","stack-parser-ts-v10",20,"stuartweitzman","Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/C_JbEXsyXaS/","stack-parser-ts-v10",22,"azazieofficial","Bridesmaids dresses","attire","bridesmaid_attire","exact","exact"
"https://www.instagram.com/p/C_JNTmjPLJH/","stack-parser-ts-v10",4,"wiederhoeft_","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_JVHdlPCtb/","stack-parser-ts-v10",11,"newhite_bridal","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_JVHdlPCtb/","stack-parser-ts-v10",12,"suitshopofficial","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_JVHdlPCtb/","stack-parser-ts-v10",14,"betseyjohnson","Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/C_JVHdlPCtb/","stack-parser-ts-v10",14,"fluevog","Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/C_k7dT9NE3z/","stack-parser-ts-v10",7,"abercrombie","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_KAjn1xdUK/","stack-parser-ts-v10",5,"suitshopofficial","Tuxes","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_ldIT-vfwr/","stack-parser-ts-v10",8,"danielakostabeauty","Bridal + Hair Makeup","attire","wedding_dress","compound(exact+exact)","compound(exact+exact)"
"https://www.instagram.com/p/C_ldIT-vfwr/","stack-parser-ts-v10",14,"formallymodern","Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_lMkQiuGZa/","stack-parser-ts-v10",7,"chosenbykyha","dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_LMMdZuaXW/","stack-parser-ts-v10",31,"carolinaherrera","REHEARSAL DINNER DRESS","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_LMMdZuaXW/","stack-parser-ts-v10",31,"overthemoon","REHEARSAL DINNER DRESS","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_LMMdZuaXW/","stack-parser-ts-v10",32,"manoloblahnik","REHEARSAL DINNER SHOES","accessories","shoes","exact.ctx","exact.ctx"
"https://www.instagram.com/p/C_LMMdZuaXW/","stack-parser-ts-v10",37,"manoloblahnik","WEDDING SHOES","accessories","shoes","exact","exact"
"https://www.instagram.com/p/C_LMMdZuaXW/","stack-parser-ts-v10",40,"ashish","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_LMMdZuaXW/","stack-parser-ts-v10",41,"gianvitorossi","Shoes","accessories","shoes","exact","exact"
"https://www.instagram.com/p/C_LP0_XREVh/","stack-parser-ts-v10",3,"rosa_clara","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_LP0_XREVh/","stack-parser-ts-v10",4,"stateandliberty","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_MSid3vElm/","stack-parser-ts-v10",11,"bombshellbridalboutique","Wedding Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_MSid3vElm/","stack-parser-ts-v10",12,"mr_walkworthy","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_nkXl4p8SB/","stack-parser-ts-v10",18,"brbridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_o0BpNPHSq/","stack-parser-ts-v10",7,"mylovestorybridal","Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_o0BpNPHSq/","stack-parser-ts-v10",12,"thesuitshop_sa","Suits","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_pJ_XHAl7_/","stack-parser-ts-v10",10,"bellableubridal","Bridal Dress Shop","attire","wedding_dress","exact.stripped","exact.stripped"
"https://www.instagram.com/p/C_pJ_XHAl7_/","stack-parser-ts-v10",11,"generationtux","Groomsmen Attire","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_pJ_XHAl7_/","stack-parser-ts-v10",11,"boss","Groomsmen Attire","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_qbvGJvU3k/","stack-parser-ts-v10",18,"thewhitedressmi","Wedding Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_qbvGJvU3k/","stack-parser-ts-v10",19,"theblacktux","Suits","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_qg2VoPyxG/","stack-parser-ts-v10",4,"madewithlovebridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_qg2VoPyxG/","stack-parser-ts-v10",5,"belleamourbridal","Boutique","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_QhrfzRqT5/","stack-parser-ts-v10",12,"maggiesotterodesigns","Wedding Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_QhrfzRqT5/","stack-parser-ts-v10",12,"vollesbridal","Wedding Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_QqLlRAcq9/","stack-parser-ts-v10",10,"wedbridalboutique","Bridal Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_QqLlRAcq9/","stack-parser-ts-v10",11,"mistertuxedodallas","Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_RHb53PUzb/","stack-parser-ts-v10",6,"bellabiancabridalcouture","dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_S4DSuxWq6/","stack-parser-ts-v10",13,"vollesbridal","Wedding Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_S4DSuxWq6/","stack-parser-ts-v10",13,"maggiesotterodesigns","Wedding Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_S4DSuxWq6/","stack-parser-ts-v10",14,"customsuitsyou","Custom Menswear","attire","menswear","exact.stripped","exact.stripped"
"https://www.instagram.com/p/C_tcmGqSxKq/","stack-parser-ts-v10",14,"evasbridalinternational","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_tdtt9S-3x/","stack-parser-ts-v10",20,"inesdisanto","Bridal gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_tdtt9S-3x/","stack-parser-ts-v10",20,"lelitebridal","Bridal gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_uKSLtRTUz/","stack-parser-ts-v10",4,"isadora_nim","Attire","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_uKSLtRTUz/","stack-parser-ts-v10",4,"bykinsman","Attire","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_V8BEXOZrg/","stack-parser-ts-v10",5,"mysiebytahira","Bride’s Outfit","attire","wedding_dress","exact.stripped","exact.stripped"
"https://www.instagram.com/p/C_V8BEXOZrg/","stack-parser-ts-v10",7,"republicbyomarfarooq","Groom’s Outfit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_V9tKAx8E2/","stack-parser-ts-v10",10,"ultimatebridechicago","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_V9tKAx8E2/","stack-parser-ts-v10",10,"inesdisanto","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_wZ7MnPYvc/","stack-parser-ts-v10",12,"thewhitedressmi","Wedding Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_wZ7MnPYvc/","stack-parser-ts-v10",13,"theblacktux","Suits","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_XIZa_OWP-/","stack-parser-ts-v10",10,"theweddingdresser","Dresser","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_yCpkSRKJq/","stack-parser-ts-v10",7,"evasbridal","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_yhpJ2PKGH/","stack-parser-ts-v10",11,"graceandivoryofficial","Bridal Gown","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_yhpJ2PKGH/","stack-parser-ts-v10",12,"suitshopofficial","Grooms Suit","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_ymnOZRTdw/","stack-parser-ts-v10",11,"nycitybride","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_ymnOZRTdw/","stack-parser-ts-v10",11,"mariaanette_official","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_yNeHWTk9x/","stack-parser-ts-v10",3,"modluxweddingschi","👰","attire","wedding_dress","emoji","emoji"
"https://www.instagram.com/p/C_ynxaeSdvw/","stack-parser-ts-v10",9,"kyhastudios","Dresses","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_ynxaeSdvw/","stack-parser-ts-v10",10,"brunellocucinelli_brand","Tux","attire","menswear","exact","exact"
"https://www.instagram.com/p/C_yooOOyi5d/","stack-parser-ts-v10",8,"allaboutthegown","Dress","attire","wedding_dress","exact","exact"
"https://www.instagram.com/p/C_yooOOyi5d/","stack-parser-ts-v10",9,"axelroe_","Veil/Earrings","accessories","veil_headpiece","compound(exact+exact)","compound(exact+exact)"
"https://www.instagram.com/p/C_yooOOyi5d/","stack-parser-ts-v10",19,"generationtux","Suit","attire","menswear","exact","exact"
