 candidate_id |        username         |                                                                                        caption                                                                                        
--------------+-------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            1 | gpconservatory          | Congratulations @ginabrittneyann & Alex!! Shout out to this killer vendor team!                                                                                                      +
              |                         |                                                                                                                                                                                      +
              |                         | Venue: @gpconservatory                                                                                                                                                               +
              |                         | Photography @clarypfeiffer                                                                                                                                                           +
              |                         | Music: @artlist.io & @weare.thegood                                                                                                                                                  +
              |                         | Catering: @f
          257 | gpconservatory          | In light of @brides featuring @ginabrittneyann & @_lxndr‘s beautiful celebration w/ photographs by the amazing @clarypfeiffer, I figure it’s a good day to share their film!         +
              |                         |                                                                                                                                                                                      +
              |                         | Couldn
          335 | gpconservatory          | Morgan & Nimmy :: The early hours 💕                                                                                                                                                 +
              |                         |                                                                                                                                                                                      +
              |                         | After seeing each other for the first time at Wildman BT and soaking up all the wedding day first look sweetness, we drove to a conservatory to
          961 | gpconservatory          | When East meets West, magic happens!✨                                                                                                                                               +
              |                         |                                                                                                                                                                                      +
              |                         | From handcrafted cocktails, vibrant Indian spices to classic comfort food for late night, this wedding was the best fusion of flavors ever!                                          +
              |                         | 
         1615 | gpconservatory          | The way that I’m tempted to share every photo from Morgan & Thomas’ wedding day because they’re just so DREAMY ✨ Their wedding photographs have an absolute chokehold on me! I adore
         2547 | gpconservatory          | I will forever be swooning over these custom gloves that @ettetailor created for Samantha’s wedding look.                                                                            +
              |                         |                                                                                                                                                                                      +
              |                         | It’s details like these that take a bridal look from beautiful to unforg
         2624 | gpconservatory          | Let us introduce you to Garfield Park Conservatory. 🌿                                                                                                                               +
              |                         |                                                                                                                                                                                      +
              |                         | Tropical palms. A glass ceiling that floods the space with light. A reflection pool so still it mirrors everything back like 
         2709 | gpconservatory          | A day filled with love, laughter, and unforgettable moments. 🤍✨                                                                                                                    +
              |                         |                                                                                                                                                                                      +
              |                         | Joseph & Mindy's wedding was the perfect blend of nature and modern elegance. Their emotional first look at the Gar
         3088 | the_carter_fultonmarket | POV: you have your wedding at The Carter in December and it’s ✨magical✨                                                                                                            +
              |                         |                                                                                                                                                                                      +
              |                         | 👰🏻‍♀️&🤵🏻‍♂️: Helen & Brian                                                                                                                                                           +
              |                         |                                                                                                                                                                                      +
              |                         | Venue: @the_carter_fultonmarket                                                                                                                                                      +
              |                         | Catering: @dabsolute_events                                                                                                                                                          +
              |                         | Photography: @th
         3097 | the_carter_fultonmarket | Venue: The Carter                                                                                                                                                                    +
              |                         | Catering: @dabsolute_events                                                                                                                                                          +
              |                         | Planning & Decor: @heirloomeventcompany @heirloomeventswithbecca                                                                                                                     +
              |                         | Florist: @southsideblooms                                                                                                                                                            +
              |                         | Photography: @thestilllifephotos                                                                                                                                                     +
              |                         | Video
         3100 | the_carter_fultonmarket | Sneak peak photos are in and they quite literally speak for themselves. Amy & Jeff kicked off our 2025 wedding season with a bang.                                                   +
              |                         | Venue: The Carter                                                                                                                                                                    +
              |                         | Catering: @dabsolute_events                                                                                                                                                          +
              |                         | Pl
         3140 | the_carter_fultonmarket | Bridget + Dan                                                                                                                                                                        +
              |                         | • August 2025 •                                                                                                                                                                      +
              |                         | Flowers: @bonnieflowers3400                                                                                                                                                          +
              |                         | Catering: @dabsolute_events                                                                                                                                                          +
              |                         | Photography: @georgestreetphoto                                                                                                                                                      +
              |                         | DJ: @greenlinetalent                                                                                                                                                                 +
              |                         | Dessert: @prettycoolicecream @nothing
