slug,account_id,username,website,note
galleria-marchetti,31,galleriamarchetti,http://galleriamarchetti.com/,golden + rubric 7
geraghty,507,thegeraghty,http://www.thegeraghty.com/,golden + rubric 16
chez,3093,chezweddingvenue,http://chezweddingvenue.com/,rubric 11
the-joinery,484,thejoinerychicago,http://www.thejoinerychicago.com/,rubric 99
the-drake-hotel,4420,thedrakechicago,https://www.thedrakehotel.com/weddings/plan-your-wedding/,rubric 478
adler,687,adlerplanet,https://www.adlerplanetarium.org/venue-rentals/,rubric 480
chicago-botanic-garden,1329,chicagobotanic,https://www.chicagobotanic.org/private-events,rubric 481
langham,97,langhamchicago,https://www.langhamhotels.com/en/the-langham/chicago/events/weddings/,rubric 483
peninsula,3940,thepeninsulachi,https://www.peninsula.com/en/chicago/events/hotel-wedding-venues-chicago,rubric 484
chicago-athletic-association,129,chicagoathletichotel,https://www.chicagoathletichotel.com/weddings,rubric 492
four-seasons,1923,fschicago,https://www.fourseasons.com/chicago/weddings/,rubric 494
londonhouse,2785,lhchicago,https://londonhousechicago.com/weddings,golden + rubric 506
wrigley,,,https://www.wrigleyfieldevents.com/,rubric 519; no accounts row (vendors 692 only) so not in the listing universe; skipped until it has an account
river-roast,775,riverroastchi,https://www.riverroastchicago.com/,rubric 525
greenhouse-loft,477,greenhouseloft,http://greenhouseloft.com/,golden + rubric 1
